cnae,denominacao,risco,regra_atualizacao,codigo_louos,denominacao_louos,enquadramento_texto,enquadramento1,ate_m2_1,enquadramento2,ate_m2_2,enquadramento3,acima_m2,codigo_tll,especificacao_tll,classificacao
0321-3/99,Cultivos e semicultivos da aquicultura em água salgada e salobra não especificados anteriormente,A SER DEFINIDO PELA CNLU,Regra 5,08A.02.06,Piscicultura,nRa-02,nRa-02,Q,-,Q,-,-,1.18,Estabelecimentos não classificados nos  Itens 1.01 a 1.17,VALIDAÇÃO
0322-1/01,Criação de peixes em água doce,BAIXO RISCO,Regra 5,07.12.13,"Escritório (inclusive virtual), sede de empresa, grupo de salas, centro empresarial",nR1-12 (até 1250) ;  nR2-12 (acima de 1250),nR1-12,"1250,00",nR2-12,"1250,01",-,-,1.01,"Administração, Organização e Planejamento",VALIDAÇÃO
0322-1/01,Criação de peixes em água doce,A SER DEFINIDO PELA CNLU,Regra 5,08A.02.06,Piscicultura,nRa-02,nRa-02,Q,-,Q,-,-,1.18,Estabelecimentos não classificados nos  Itens 1.01 a 1.17,VALIDAÇÃO
0322-1/02,Criação de camarões em água doce,BAIXO RISCO,Regra 5,07.12.13,"Escritório (inclusive virtual), sede de empresa, grupo de salas, centro empresarial",nR1-12 (até 1250) ;  nR2-12 (acima de 1250),nR1-12,"1250,00",nR2-12,"1250,01",-,-,1.01,"Administração, Organização e Planejamento",VALIDAÇÃO
0322-1/02,Criação de camarões em água doce,A SER DEFINIDO PELA CNLU,Regra 5,08A.02.06,Piscicultura,nRa-02,nRa-02,Q,-,Q,-,-,1.18,Estabelecimentos não classificados nos  Itens 1.01 a 1.17,VALIDAÇÃO
0322-1/03,Criação de ostras e mexilhões em água doce,BAIXO RISCO,Regra 5,07.12.13,"Escritório (inclusive virtual), sede de empresa, grupo de salas, centro empresarial",nR1-12 (até 1250) ;  nR2-12 (acima de 1250),nR1-12,"1250,00",nR2-12,"1250,01",-,-,1.01,"Administração, Organização e Planejamento",VALIDAÇÃO
0322-1/03,Criação de ostras e mexilhões em água doce,A SER DEFINIDO PELA CNLU,Regra 5,08A.02.06,Piscicultura,nRa-02,nRa-02,Q,-,Q,-,-,1.18,Estabelecimentos não classificados nos  Itens 1.01 a 1.17,VALIDAÇÃO
0322-1/04,Criação de peixes ornamentais em água doce,BAIXO RISCO,Regra 5,07.12.13,"Escritório (inclusive virtual), sede de empresa, grupo de salas, centro empresarial",nR1-12 (até 1250) ;  nR2-12 (acima de 1250),nR1-12,"1250,00",nR2-12,"1250,01",-,-,1.01,"Administração, Organização e Planejamento",VALIDAÇÃO
0322-1/04,Criação de peixes ornamentais em água doce,A SER DEFINIDO PELA CNLU,Regra 5,08A.02.06,Piscicultura,nRa-02,nRa-02,Q,-,Q,-,-,1.18,Estabelecimentos não classificados nos  Itens 1.01 a 1.17,VALIDAÇÃO
0322-1/05,Ranicultura,BAIXO RISCO,Regra 5,07.12.13,"Escritório (inclusive virtual), sede de empresa, grupo de salas, centro empresarial",nR1-12 (até 1250) ;  nR2-12 (acima de 1250),nR1-12,"1250,00",nR2-12,"1250,01",-,-,1.01,"Administração, Organização e Planejamento",VALIDAÇÃO
0322-1/05,Ranicultura,A SER DEFINIDO PELA CNLU,Regra 5,08A.02.06,Piscicultura,nRa-02,nRa-02,Q,-,Q,-,-,1.18,Estabelecimentos não classificados nos  Itens 1.01 a 1.17,VALIDAÇÃO
0322-1/06,Criação de jacaré,BAIXO RISCO,Regra 5,07.12.13,"Escritório (inclusive virtual), sede de empresa, grupo de salas, centro empresarial",nR1-12 (até 1250) ;  nR2-12 (acima de 1250),nR1-12,"1250,00",nR2-12,"1250,01",-,-,1.01,"Administração, Organização e Planejamento",VALIDAÇÃO
0322-1/06,Criação de jacaré,A SER DEFINIDO PELA CNLU,Regra 5,08A.02.06,Piscicultura,nRa-02,nRa-02,Q,-,Q,-,-,1.18,Estabelecimentos não classificados nos  Itens 1.01 a 1.17,VALIDAÇÃO
0322-1/07,Atividades de apoio à aquicultura em água doce,BAIXO RISCO,Regra 10,07.12.13,"Escritório (inclusive virtual), sede de empresa, grupo de salas, centro empresarial",nR1-12 (até 1250) ;  nR2-12 (acima de 1250),nR1-12,"1250,00",nR2-12,"1250,01",-,-,1.01,"Administração, Organização e Planejamento",VALIDAÇÃO
0322-1/99,Cultivos e semicultivos da aquicultura em água doce não especificados anteriormente,BAIXO RISCO,Regra 5,07.12.13,"Escritório (inclusive virtual), sede de empresa, grupo de salas, centro empresarial",nR1-12 (até 1250) ;  nR2-12 (acima de 1250),nR1-12,"1250,00",nR2-12,"1250,01",-,-,1.01,"Administração, Organização e Planejamento",VALIDAÇÃO
0322-1/99,Cultivos e semicultivos da aquicultura em água doce não especificados anteriormente,A SER DEFINIDO PELA CNLU,Regra 5,08A.02.06,Piscicultura,nRa-02,nRa-02,Q,-,Q,-,-,1.18,Estabelecimentos não classificados nos  Itens 1.01 a 1.17,VALIDAÇÃO
0500-3/01,Extração de carvão mineral,ALTO,Regra 5,09.07.05,Extração de minerais fósseis,ID3- 07,ID3- 07,Q,-,Q,-,,3.00,Estabelecimentos Industriais,VALIDAÇÃO
0500-3/01,Extração de carvão mineral,BAIXO RISCO,Regra 5,07.12.13,"Escritório (inclusive virtual), sede de empresa, grupo de salas, centro empresarial",nR1-12 (até 1250) ;  nR2-12 (acima de 1250),nR1-12,"1250,00",nR2-12,"1250,01",,,1.01,"Administração, Organização e Planejamento",VALIDAÇÃO
0500-3/02,Beneficiamento de carvão mineral,ALTO,Regra 5,09.14.09,"Beneficiamento e preparação de minerais não metálicos, não associados, em sua localização, à extração",ID3- 14  (subgrupo 2),ID3- 14  (subgrupo 2),Q,-,Q,-,,3.00,Estabelecimentos Industriais,VALIDAÇÃO
0500-3/02,Beneficiamento de carvão mineral,BAIXO RISCO,Regra 5,07.12.13,"Escritório (inclusive virtual), sede de empresa, grupo de salas, centro empresarial",nR1-12 (até 1250) ;  nR2-12 (acima de 1250),nR1-12,"1250,00",nR2-12,"1250,01",,,1.01,"Administração, Organização e Planejamento",VALIDAÇÃO
0600-0/01,Extração de petróleo e gás natural,ALTO,Regra 5,09.07.05,Extração de minerais fósseis,ID3- 07,ID3- 07,Q,-,Q,-,,3.00,Estabelecimentos Industriais,VALIDAÇÃO
0600-0/01,Extração de petróleo e gás natural,BAIXO RISCO,Regra 5,07.12.13,"Escritório (inclusive virtual), sede de empresa, grupo de salas, centro empresarial",nR1-12 (até 1250) ;  nR2-12 (acima de 1250),nR1-12,"1250,00",nR2-12,"1250,01",,,1.01,"Administração, Organização e Planejamento",VALIDAÇÃO
0600-0/02,Extração e beneficiamento de xisto,ALTO,Regra 5,09.07.10,Extração de pedras e outros materiais de construção,ID3- 07,ID3- 07,Q,-,Q,-,,3.00,Estabelecimentos Industriais,VALIDAÇÃO
0600-0/02,Extração e beneficiamento de xisto,BAIXO RISCO,Regra 5,07.12.13,"Escritório (inclusive virtual), sede de empresa, grupo de salas, centro empresarial",nR1-12 (até 1250) ;  nR2-12 (acima de 1250),nR1-12,"1250,00",nR2-12,"1250,01",,,1.01,"Administração, Organização e Planejamento",VALIDAÇÃO
0600-0/03,Extração e beneficiamento de areias betuminosas,ALTO,Regra 5,09.07.10,Extração de pedras e outros materiais de construção,ID3- 07,ID3- 07,Q,-,Q,-,,3.00,Estabelecimentos Industriais,VALIDAÇÃO
0600-0/03,Extração e beneficiamento de areias betuminosas,BAIXO RISCO,Regra 5,07.12.13,"Escritório (inclusive virtual), sede de empresa, grupo de salas, centro empresarial",nR1-12 (até 1250) ;  nR2-12 (acima de 1250),nR1-12,"1250,00",nR2-12,"1250,01",,,1.01,"Administração, Organização e Planejamento",VALIDAÇÃO
0710-3/01,Extração de minério de ferro,ALTO,Regra 5,09.07.10,Extração de pedras e outros materiais de construção,ID3- 07,ID3- 07,Q,-,Q,-,,3.00,Estabelecimentos Industriais,VALIDAÇÃO
0710-3/01,Extração de minério de ferro,BAIXO RISCO,Regra 5,07.12.13,"Escritório (inclusive virtual), sede de empresa, grupo de salas, centro empresarial",nR1-12 (até 1250) ;  nR2-12 (acima de 1250),nR1-12,"1250,00",nR2-12,"1250,01",,,1.01,"Administração, Organização e Planejamento",VALIDAÇÃO
0710-3/02,"Pelotização, sinterização e outros beneficiamentos de minério de ferro",ALTO,Regra 5,09.17.09,Sintetização e/ou pelotização de carvão de pedra e de coque não ligadas à extração,ID3- 17,ID3- 07,Q,-,Q,-,,3.00,Estabelecimentos Industriais,VALIDAÇÃO
0710-3/02,"Pelotização, sinterização e outros beneficiamentos de minério de ferro",BAIXO RISCO,Regra 5,07.12.13,"Escritório (inclusive virtual), sede de empresa, grupo de salas, centro empresarial",nR1-12 (até 1250) ;  nR2-12 (acima de 1250),nR1-12,"1250,00",nR2-12,"1250,01",,,1.01,"Administração, Organização e Planejamento",VALIDAÇÃO
0721-9/01,Extração de minério de alumínio,ALTO,Regra 5,09.07.06,Extração de minerais metálicos não ferrosos,ID3- 07,ID3- 07,Q,-,Q,-,,3.00,Estabelecimentos Industriais,VALIDAÇÃO
0721-9/01,Extração de minério de alumínio,BAIXO RISCO,Regra 5,07.12.13,"Escritório (inclusive virtual), sede de empresa, grupo de salas, centro empresarial",nR1-12 (até 1250) ;  nR2-12 (acima de 1250),nR1-12,"1250,00",nR2-12,"1250,01",,,1.01,"Administração, Organização e Planejamento",VALIDAÇÃO
0721-9/02,Beneficiamento de minério de alumínio,ALTO,Regra 5,09.13.04,Metalurgia do alumínio e suas ligas em geral,ID3- 13  (subgrupo 1),ID3- 13  (subgrupo 1),Q,-,Q,-,,3.00,Estabelecimentos Industriais,VALIDAÇÃO
0721-9/02,Beneficiamento de minério de alumínio,BAIXO RISCO,Regra 5,07.12.13,"Escritório (inclusive virtual), sede de empresa, grupo de salas, centro empresarial",nR1-12 (até 1250) ;  nR2-12 (acima de 1250),nR1-12,"1250,00",nR2-12,"1250,01",,,1.01,"Administração, Organização e Planejamento",VALIDAÇÃO
0722-7/01,Extração de minério de estanho,ALTO,Regra 5,09.07.06,Extração de minerais metálicos não ferrosos,ID3- 07,ID3- 07,Q,-,Q,-,,3.00,Estabelecimentos Industriais,VALIDAÇÃO
0722-7/01,Extração de minério de estanho,BAIXO RISCO,Regra 5,07.12.13,"Escritório (inclusive virtual), sede de empresa, grupo de salas, centro empresarial",nR1-12 (até 1250) ;  nR2-12 (acima de 1250),nR1-12,"1250,00",nR2-12,"1250,01",,,1.01,"Administração, Organização e Planejamento",VALIDAÇÃO
0722-7/02,Beneficiamento de minério de estanho,ALTO,Regra 5,09.13.11,Metalurgia de outros metais não ferrosos em formas primárias,ID3- 13  (subgrupo 2),ID3- 13  (subgrupo 2),Q,-,Q,-,,3.00,Estabelecimentos Industriais,VALIDAÇÃO
0722-7/02,Beneficiamento de minério de estanho,BAIXO RISCO,Regra 5,07.12.13,"Escritório (inclusive virtual), sede de empresa, grupo de salas, centro empresarial",nR1-12 (até 1250) ;  nR2-12 (acima de 1250),nR1-12,"1250,00",nR2-12,"1250,01",,,1.01,"Administração, Organização e Planejamento",VALIDAÇÃO
0723-5/01,Extração de minério de manganês,ALTO,Regra 5,09.07.06,Extração de minerais metálicos não ferrosos,ID3- 07,ID3- 07,Q,-,Q,-,,3.00,Estabelecimentos Industriais,VALIDAÇÃO
0723-5/01,Extração de minério de manganês,BAIXO RISCO,Regra 5,07.12.13,"Escritório (inclusive virtual), sede de empresa, grupo de salas, centro empresarial",nR1-12 (até 1250) ;  nR2-12 (acima de 1250),nR1-12,"1250,00",nR2-12,"1250,01",,,1.01,"Administração, Organização e Planejamento",VALIDAÇÃO
0723-5/02,Beneficiamento de minério de manganês,ALTO,Regra 5,09.13.11,Metalurgia de outros metais não ferrosos em formas primárias,ID3- 13  (subgrupo 2),ID3- 13  (subgrupo 2),Q,-,Q,-,,3.00,Estabelecimentos Industriais,VALIDAÇÃO
0723-5/02,Beneficiamento de minério de manganês,BAIXO RISCO,Regra 5,07.12.13,"Escritório (inclusive virtual), sede de empresa, grupo de salas, centro empresarial",nR1-12 (até 1250) ;  nR2-12 (acima de 1250),nR1-12,"1250,00",nR2-12,"1250,01",,,1.01,"Administração, Organização e Planejamento",VALIDAÇÃO
0724-3/01,Extração de minério de metais preciosos,ALTO,Regra 5,09.07.09,Extração de metais preciosos,ID3- 07,ID3- 07,Q,-,Q,-,,3.00,Estabelecimentos Industriais,VALIDAÇÃO
0724-3/01,Extração de minério de metais preciosos,BAIXO RISCO,Regra 5,07.12.13,"Escritório (inclusive virtual), sede de empresa, grupo de salas, centro empresarial",nR1-12 (até 1250) ;  nR2-12 (acima de 1250),nR1-12,"1250,00",nR2-12,"1250,01",,,1.01,"Administração, Organização e Planejamento",VALIDAÇÃO
0724-3/02,Beneficiamento de minério de metais preciosos,ALTO,Regra 5,09.13.05,Metalurgia de metais preciosos,ID3- 13  (subgrupo 1),ID3- 13  (subgrupo 1),Q,-,Q,-,,3.00,Estabelecimentos Industriais,VALIDAÇÃO
0724-3/02,Beneficiamento de minério de metais preciosos,BAIXO RISCO,Regra 5,07.12.13,"Escritório (inclusive virtual), sede de empresa, grupo de salas, centro empresarial",nR1-12 (até 1250) ;  nR2-12 (acima de 1250),nR1-12,"1250,00",nR2-12,"1250,01",,,1.01,"Administração, Organização e Planejamento",VALIDAÇÃO
0725-1/00,Extração de minerais radioativos,ALTO,Regra 5,09.07.07,Extração de minerais não metálicos,ID3- 07,ID3- 07,Q,-,Q,-,,3.00,Estabelecimentos Industriais,VALIDAÇÃO
0725-1/00,Extração de minerais radioativos,BAIXO RISCO,Regra 5,07.12.13,"Escritório (inclusive virtual), sede de empresa, grupo de salas, centro empresarial",nR1-12 (até 1250) ;  nR2-12 (acima de 1250),nR1-12,"1250,00",nR2-12,"1250,01",,,1.01,"Administração, Organização e Planejamento",VALIDAÇÃO
0729-4/01,Extração de minérios de nióbio e titânio,ALTO,Regra 5,09.07.06,Extração de minerais metálicos não ferrosos,ID3- 07,ID3- 07,Q,-,Q,-,,3.00,Estabelecimentos Industriais,VALIDAÇÃO
0729-4/01,Extração de minérios de nióbio e titânio,BAIXO RISCO,Regra 5,07.12.13,"Escritório (inclusive virtual), sede de empresa, grupo de salas, centro empresarial",nR1-12 (até 1250) ;  nR2-12 (acima de 1250),nR1-12,"1250,00",nR2-12,"1250,01",,,1.01,"Administração, Organização e Planejamento",VALIDAÇÃO
0729-4/02,Extração de minério de tungstênio,ALTO,Regra 5,09.07.06,Extração de minerais metálicos não ferrosos,ID3- 07,ID3- 07,Q,-,Q,-,,3.00,Estabelecimentos Industriais,VALIDAÇÃO
0729-4/02,Extração de minério de tungstênio,BAIXO RISCO,Regra 5,07.12.13,"Escritório (inclusive virtual), sede de empresa, grupo de salas, centro empresarial",nR1-12 (até 1250) ;  nR2-12 (acima de 1250),nR1-12,"1250,00",nR2-12,"1250,01",,,1.01,"Administração, Organização e Planejamento",VALIDAÇÃO
0729-4/03,Extração de minério de níquel,ALTO,Regra 5,09.07.06,Extração de minerais metálicos não ferrosos,ID3- 07,ID3- 07,Q,-,Q,-,,3.00,Estabelecimentos Industriais,VALIDAÇÃO
0729-4/03,Extração de minério de níquel,BAIXO RISCO,Regra 5,07.12.13,"Escritório (inclusive virtual), sede de empresa, grupo de salas, centro empresarial",nR1-12 (até 1250) ;  nR2-12 (acima de 1250),nR1-12,"1250,00",nR2-12,"1250,01",,,1.01,"Administração, Organização e Planejamento",VALIDAÇÃO
0729-4/04,"Extração de minérios de cobre, chumbo, zinco e outros minerais metálicos não-ferrosos não especificados anteriormente",ALTO,Regra 5,09.07.06,Extração de minerais metálicos não ferrosos,ID3- 07,ID3- 07,Q,-,Q,-,,3.00,Estabelecimentos Industriais,VALIDAÇÃO
0729-4/04,"Extração de minérios de cobre, chumbo, zinco e outros minerais metálicos não-ferrosos não especificados anteriormente",BAIXO RISCO,Regra 5,07.12.13,"Escritório (inclusive virtual), sede de empresa, grupo de salas, centro empresarial",nR1-12 (até 1250) ;  nR2-12 (acima de 1250),nR1-12,"1250,00",nR2-12,"1250,01",,,1.01,"Administração, Organização e Planejamento",VALIDAÇÃO
0729-4/05,"Beneficiamento de minérios de cobre, chumbo, zinco e outros minerais metálicos não-ferrosos não especificados anteriormente",ALTO,Regra 5,09.13.11,Metalurgia de outros metais não ferrosos em formas primárias,ID3- 13  (subgrupo 2),ID3- 13  (subgrupo 2),Q,-,Q,-,,3.00,Estabelecimentos Industriais,VALIDAÇÃO
0729-4/05,"Beneficiamento de minérios de cobre, chumbo, zinco e outros minerais metálicos não-ferrosos não especificados anteriormente",BAIXO RISCO,Regra 5,07.12.13,"Escritório (inclusive virtual), sede de empresa, grupo de salas, centro empresarial",nR1-12 (até 1250) ;  nR2-12 (acima de 1250),nR1-12,"1250,00",nR2-12,"1250,01",,,1.01,"Administração, Organização e Planejamento",VALIDAÇÃO
0810-0/01,Extração de ardósia e beneficiamento associado,ALTO,Regra 5,09.07.10,Extração de pedras e outros materiais de construção,ID3-07,ID3-07,Q,-,Q,-,,3.00,Estabelecimentos Industriais,VALIDAÇÃO
0810-0/01,Extração de ardósia e beneficiamento associado,BAIXO RISCO,Regra 5,07.12.13,"Escritório (inclusive virtual), sede de empresa, grupo de salas, centro empresarial",nR1-12 (até 1250) ;  nR2-12 (acima de 1250),nR1-12,"1250,00",nR2-12,"1250,01",,,1.01,"Administração, Organização e Planejamento",VALIDAÇÃO
0810-0/02,Extração de granito e beneficiamento associado,ALTO,Regra 5,09.07.10,Extração de pedras e outros materiais de construção,ID3-07,ID3-07,Q,-,Q,-,,3.00,Estabelecimentos Industriais,VALIDAÇÃO
0810-0/02,Extração de granito e beneficiamento associado,BAIXO RISCO,Regra 5,07.12.13,"Escritório (inclusive virtual), sede de empresa, grupo de salas, centro empresarial",nR1-12 (até 1250) ;  nR2-12 (acima de 1250),nR1-12,"1250,00",nR2-12,"1250,01",,,1.01,"Administração, Organização e Planejamento",VALIDAÇÃO
0810-0/03,Extração de mármore e beneficiamento associado,ALTO,Regra 5,09.07.10,Extração de pedras e outros materiais de construção,ID3-07,ID3-07,Q,-,Q,-,,3.00,Estabelecimentos Industriais,VALIDAÇÃO
0810-0/03,Extração de mármore e beneficiamento associado,BAIXO RISCO,Regra 5,07.12.13,"Escritório (inclusive virtual), sede de empresa, grupo de salas, centro empresarial",nR1-12 (até 1250) ;  nR2-12 (acima de 1250),nR1-12,"1250,00",nR2-12,"1250,01",,,1.01,"Administração, Organização e Planejamento",VALIDAÇÃO
0810-0/04,Extração de calcário e dolomita e beneficiamento associado,ALTO,Regra 5,09.07.10,Extração de pedras e outros materiais de construção,ID3-07,ID3-07,Q,-,Q,-,,3.00,Estabelecimentos Industriais,VALIDAÇÃO
0810-0/04,Extração de calcário e dolomita e beneficiamento associado,BAIXO RISCO,Regra 5,07.12.13,"Escritório (inclusive virtual), sede de empresa, grupo de salas, centro empresarial",nR1-12 (até 1250) ;  nR2-12 (acima de 1250),nR1-12,"1250,00",nR2-12,"1250,01",,,1.01,"Administração, Organização e Planejamento",VALIDAÇÃO
0810-0/05,Extração de gesso e caulim,ALTO,Regra 5,09.07.10,Extração de pedras e outros materiais de construção,ID3-07,ID3-07,Q,-,Q,-,,3.00,Estabelecimentos Industriais,VALIDAÇÃO
0810-0/05,Extração de gesso e caulim,BAIXO RISCO,Regra 5,07.12.13,"Escritório (inclusive virtual), sede de empresa, grupo de salas, centro empresarial",nR1-12 (até 1250) ;  nR2-12 (acima de 1250),nR1-12,"1250,00",nR2-12,"1250,01",,,1.01,"Administração, Organização e Planejamento",VALIDAÇÃO
0810-0/06,"Extração de areia, cascalho ou pedregulho e beneficiamento associado",ALTO,Regra 5,09.07.10,Extração de pedras e outros materiais de construção,ID3-07,ID3-07,Q,-,Q,-,,3.00,Estabelecimentos Industriais,VALIDAÇÃO
0810-0/06,"Extração de areia, cascalho ou pedregulho e beneficiamento associado",BAIXO RISCO,Regra 5,07.12.13,"Escritório (inclusive virtual), sede de empresa, grupo de salas, centro empresarial",nR1-12 (até 1250) ;  nR2-12 (acima de 1250),nR1-12,"1250,00",nR2-12,"1250,01",,,1.01,"Administração, Organização e Planejamento",VALIDAÇÃO
0810-0/07,Extração de argila e beneficiamento associado,ALTO,Regra 5,09.07.10,Extração de pedras e outros materiais de construção,ID3-07,ID3-07,Q,-,Q,-,,3.00,Estabelecimentos Industriais,VALIDAÇÃO
0810-0/07,Extração de argila e beneficiamento associado,BAIXO RISCO,Regra 5,07.12.13,"Escritório (inclusive virtual), sede de empresa, grupo de salas, centro empresarial",nR1-12 (até 1250) ;  nR2-12 (acima de 1250),nR1-12,"1250,00",nR2-12,"1250,01",,,1.01,"Administração, Organização e Planejamento",VALIDAÇÃO
0810-0/08,Extração de saibro e beneficiamento associado,ALTO,Regra 5,09.07.10,Extração de pedras e outros materiais de construção,ID3-07,ID3-07,Q,-,Q,-,,3.00,Estabelecimentos Industriais,VALIDAÇÃO
0810-0/08,Extração de saibro e beneficiamento associado,BAIXO RISCO,Regra 5,07.12.13,"Escritório (inclusive virtual), sede de empresa, grupo de salas, centro empresarial",nR1-12 (até 1250) ;  nR2-12 (acima de 1250),nR1-12,"1250,00",nR2-12,"1250,01",,,1.01,"Administração, Organização e Planejamento",VALIDAÇÃO
0810-0/09,Extração de basalto e beneficiamento associado,ALTO,Regra 5,09.07.10,Extração de pedras e outros materiais de construção,ID3-07,ID3-07,Q,-,Q,-,,3.00,Estabelecimentos Industriais,VALIDAÇÃO
0810-0/09,Extração de basalto e beneficiamento associado,BAIXO RISCO,Regra 5,07.12.13,"Escritório (inclusive virtual), sede de empresa, grupo de salas, centro empresarial",nR1-12 (até 1250) ;  nR2-12 (acima de 1250),nR1-12,"1250,00",nR2-12,"1250,01",,,1.01,"Administração, Organização e Planejamento",VALIDAÇÃO
0810-0/10,Beneficiamento de gesso e caulim associado à extração,ALTO,Regra 5,09.14.02,"Beneficiamento e aparelhamento de artigos de concreto, cimento, estuque e gesso",ID1-14,ID1-14,Q,-,Q,-,,3.00,Estabelecimentos Industriais,VALIDAÇÃO
0810-0/10,Beneficiamento de gesso e caulim associado à extração,BAIXO RISCO,Regra 5,07.12.13,"Escritório (inclusive virtual), sede de empresa, grupo de salas, centro empresarial",nR1-12 (até 1250) ;  nR2-12 (acima de 1250),nR1-12,"1250,00",nR2-12,"1250,01",,,1.01,"Administração, Organização e Planejamento",VALIDAÇÃO
0810-0/99,Extração e britamento de pedras e outros materiais para construção e beneficiamento associado,ALTO,Regra 5,09.07.10,Extração de pedras e outros materiais de construção,ID3- 07,ID3- 07,Q,-,Q,-,,3.00,Estabelecimentos Industriais,VALIDAÇÃO
0810-0/99,Extração e britamento de pedras e outros materiais para construção e beneficiamento associado,BAIXO RISCO,Regra 5,07.12.13,"Escritório (inclusive virtual), sede de empresa, grupo de salas, centro empresarial",nR1-12 (até 1250) ;  nR2-12 (acima de 1250),nR1-12,"1250,00",nR2-12,"1250,01",,,1.01,"Administração, Organização e Planejamento",VALIDAÇÃO
0891-6/00,"Extração de minerais para fabricação de adubos, fertilizantes e outros produtos químicos",ALTO,Regra 5,09.07.07,Extração de minerais não metálicos,ID3- 07,ID3- 07,Q,-,Q,-,,3.00,Estabelecimentos Industriais,VALIDAÇÃO
0891-6/00,"Extração de minerais para fabricação de adubos, fertilizantes e outros produtos químicos",BAIXO RISCO,Regra 5,07.12.13,"Escritório (inclusive virtual), sede de empresa, grupo de salas, centro empresarial",nR1-12 (até 1250) ;  nR2-12 (acima de 1250),nR1-12,"1250,00",nR2-12,"1250,01",,,1.01,"Administração, Organização e Planejamento",VALIDAÇÃO
0892-4/01,Extração de sal marinho,ALTO,Regra 5,09.07.08,Extração de sal,ID3- 07,ID3- 07,Q,-,Q,-,,3.00,Estabelecimentos Industriais,VALIDAÇÃO
0892-4/01,Extração de sal marinho,BAIXO RISCO,Regra 5,07.12.13,"Escritório (inclusive virtual), sede de empresa, grupo de salas, centro empresarial",nR1-12 (até 1250) ;  nR2-12 (acima de 1250),nR1-12,"1250,00",nR2-12,"1250,01",,,1.01,"Administração, Organização e Planejamento",VALIDAÇÃO
0892-4/02,Extração de sal-gema,ALTO,Regra 5,09.07.08,Extração de sal,ID3- 07,ID3- 07,Q,-,Q,-,,3.00,Estabelecimentos Industriais,VALIDAÇÃO
0892-4/02,Extração de sal-gema,BAIXO RISCO,Regra 5,07.12.13,"Escritório (inclusive virtual), sede de empresa, grupo de salas, centro empresarial",nR1-12 (até 1250) ;  nR2-12 (acima de 1250),nR1-12,"1250,00",nR2-12,"1250,01",,,1.01,"Administração, Organização e Planejamento",VALIDAÇÃO
0892-4/03,Refino e outros tratamentos do sal,ALTO,Regra 49,09.14.09,"Beneficiamento e preparação de minerais não metálicos, não associados, em sua localização, à extração",ID3-14 (subgrupo 2),ID3-14 (subgrupo 2),Q,-,Q,-,,3.00,Estabelecimentos Industriais,VALIDAÇÃO
0892-4/03,Refino e outros tratamentos do sal,ALTO,Regra 49,07.12.13,"Escritório (inclusive virtual), sede de empresa, grupo de salas, centro empresarial",nR1-12 (até 1250) ;  nR2-12 (acima de 1250),nR1-12,"1250,00",nR2-12,"1250,01",,,1.01,"Administração, Organização e Planejamento",VALIDAÇÃO
0893-2/00,Extração de gemas (pedras preciosas e semipreciosas),ALTO,Regra 5,09.07.09,Extração de metais preciosos,ID3- 07,ID3- 07,Q,-,Q,-,,3.00,Estabelecimentos Industriais,VALIDAÇÃO
0893-2/00,Extração de gemas (pedras preciosas e semipreciosas),BAIXO RISCO,Regra 5,07.12.13,"Escritório (inclusive virtual), sede de empresa, grupo de salas, centro empresarial",nR1-12 (até 1250) ;  nR2-12 (acima de 1250),nR1-12,"1250,00",nR2-12,"1250,01",,,1.01,"Administração, Organização e Planejamento",VALIDAÇÃO
0899-1/01,Extração de grafita,ALTO,Regra 5,09.07.07,Extração de minerais não metálicos,ID3- 07,ID3- 07,Q,-,Q,-,,3.00,Estabelecimentos Industriais,VALIDAÇÃO
0899-1/01,Extração de grafita,BAIXO RISCO,Regra 5,07.12.13,"Escritório (inclusive virtual), sede de empresa, grupo de salas, centro empresarial",nR1-12 (até 1250) ;  nR2-12 (acima de 1250),nR1-12,"1250,00",nR2-12,"1250,01",,,1.01,"Administração, Organização e Planejamento",VALIDAÇÃO
0899-1/02,Extração de quartzo,ALTO,Regra 5,09.07.07,Extração de minerais não metálicos,ID3- 07,ID3- 07,Q,-,Q,-,,3.00,Estabelecimentos Industriais,VALIDAÇÃO
0899-1/02,Extração de quartzo,BAIXO RISCO,Regra 5,07.12.13,"Escritório (inclusive virtual), sede de empresa, grupo de salas, centro empresarial",nR1-12 (até 1250) ;  nR2-12 (acima de 1250),nR1-12,"1250,00",nR2-12,"1250,01",,,1.01,"Administração, Organização e Planejamento",VALIDAÇÃO
0899-1/03,Extração de amianto,ALTO,Regra 5,09.07.07,Extração de minerais não metálicos,ID3- 07,ID3- 07,Q,-,Q,-,,3.00,Estabelecimentos Industriais,VALIDAÇÃO
0899-1/03,Extração de amianto,BAIXO RISCO,Regra 5,07.12.13,"Escritório (inclusive virtual), sede de empresa, grupo de salas, centro empresarial",nR1-12 (até 1250) ;  nR2-12 (acima de 1250),nR1-12,"1250,00",nR2-12,"1250,01",,,1.01,"Administração, Organização e Planejamento",VALIDAÇÃO
0899-1/99,Extração de outros minerais não-metálicos não especificados anteriormente,ALTO,Regra 5,09.07.07,Extração de minerais não metálicos,ID3- 07,ID3- 07,Q,-,Q,-,,3.00,"Administração, Organização e Planejamento",VALIDAÇÃO
