zona,grupo_uso,subgrupo,permissao,condicionante_ref,base_legal
ZEIS 4,nR1,nR1-09,S,,Lei nº 9.148/2016 — Quadro 10
ZEIS 5,nR1,nR1-09,S,,Lei nº 9.148/2016 — Quadro 10
ZCMe 1/01,nR1,nR1-09,S,,Lei nº 9.148/2016 — Quadro 10
ZCMe 1/02,nR1,nR1-09,S,,Lei nº 9.148/2016 — Quadro 10
ZCMe 1/03,nR1,nR1-09,S,,Lei nº 9.148/2016 — Quadro 10
ZCMe 2,nR1,nR1-09,S,,Lei nº 9.148/2016 — Quadro 10
ZCMe - CA,nR1,nR1-09,S,,Lei nº 9.148/2016 — Quadro 10
ZCMu 1 - IPITANGA,nR1,nR1-09,S,,Lei nº 9.148/2016 — Quadro 10
ZCMu 2,nR1,nR1-09,S,,Lei nº 9.148/2016 — Quadro 10
ZCLMe,nR1,nR1-09,S,,Lei nº 9.148/2016 — Quadro 10
ZCLMu,nR1,nR1-09,S,,Lei nº 9.148/2016 — Quadro 10
ZDE 1,nR1,nR1-09,S,,Lei nº 9.148/2016 — Quadro 10
ZDE 2,nR1,nR1-09,S,,Lei nº 9.148/2016 — Quadro 10
ZUSI,nR1,nR1-09,S,,Lei nº 9.148/2016 — Quadro 10
ZIT,nR1,nR1-09,N,,Lei nº 9.148/2016 — Quadro 10
ZPR 1,nR1,nR1-10,S,,Lei nº 9.148/2016 — Quadro 10
ZPR 2,nR1,nR1-10,S,,Lei nº 9.148/2016 — Quadro 10
ZPR 3,nR1,nR1-10,S,,Lei nº 9.148/2016 — Quadro 10
ZEIS 1,nR1,nR1-10,S,,Lei nº 9.148/2016 — Quadro 10
ZEIS 2,nR1,nR1-10,N,,Lei nº 9.148/2016 — Quadro 10
ZEIS 3,nR1,nR1-10,N,,Lei nº 9.148/2016 — Quadro 10
ZEIS 4,nR1,nR1-10,S,,Lei nº 9.148/2016 — Quadro 10
ZEIS 5,nR1,nR1-10,S,,Lei nº 9.148/2016 — Quadro 10
ZCMe 1/01,nR1,nR1-10,S,,Lei nº 9.148/2016 — Quadro 10
ZCMe 1/02,nR1,nR1-10,S,,Lei nº 9.148/2016 — Quadro 10
ZCMe 1/03,nR1,nR1-10,S,,Lei nº 9.148/2016 — Quadro 10
ZCMe 2,nR1,nR1-10,S,,Lei nº 9.148/2016 — Quadro 10
ZCMe - CA,nR1,nR1-10,S,,Lei nº 9.148/2016 — Quadro 10
ZCMu 1 - IPITANGA,nR1,nR1-10,S,,Lei nº 9.148/2016 — Quadro 10
ZCMu 2,nR1,nR1-10,S,,Lei nº 9.148/2016 — Quadro 10
ZCLMe,nR1,nR1-10,S,,Lei nº 9.148/2016 — Quadro 10
ZCLMu,nR1,nR1-10,S,,Lei nº 9.148/2016 — Quadro 10
ZDE 1,nR1,nR1-10,S,,Lei nº 9.148/2016 — Quadro 10
ZDE 2,nR1,nR1-10,S,,Lei nº 9.148/2016 — Quadro 10
ZUSI,nR1,nR1-10,S,,Lei nº 9.148/2016 — Quadro 10
ZIT,nR1,nR1-10,N,,Lei nº 9.148/2016 — Quadro 10
ZPR 1,nR1,nR1-12,S,,Lei nº 9.148/2016 — Quadro 10
ZPR 2,nR1,nR1-12,S,,Lei nº 9.148/2016 — Quadro 10
ZPR 3,nR1,nR1-12,S,,Lei nº 9.148/2016 — Quadro 10
ZEIS 1,nR1,nR1-12,S,,Lei nº 9.148/2016 — Quadro 10
ZEIS 2,nR1,nR1-12,S,,Lei nº 9.148/2016 — Quadro 10
ZEIS 3,nR1,nR1-12,S,,Lei nº 9.148/2016 — Quadro 10
ZEIS 4,nR1,nR1-12,S,,Lei nº 9.148/2016 — Quadro 10
ZEIS 5,nR1,nR1-12,S,,Lei nº 9.148/2016 — Quadro 10
ZCMe 1/01,nR1,nR1-12,S,,Lei nº 9.148/2016 — Quadro 10
ZCMe 1/02,nR1,nR1-12,S,,Lei nº 9.148/2016 — Quadro 10
ZCMe 1/03,nR1,nR1-12,S,,Lei nº 9.148/2016 — Quadro 10
ZCMe 2,nR1,nR1-12,S,,Lei nº 9.148/2016 — Quadro 10
ZCMe - CA,nR1,nR1-12,S,,Lei nº 9.148/2016 — Quadro 10
ZCMu 1 - IPITANGA,nR1,nR1-12,S,,Lei nº 9.148/2016 — Quadro 10
ZCMu 2,nR1,nR1-12,S,,Lei nº 9.148/2016 — Quadro 10
ZCLMe,nR1,nR1-12,S,,Lei nº 9.148/2016 — Quadro 10
ZCLMu,nR1,nR1-12,S,,Lei nº 9.148/2016 — Quadro 10
ZDE 1,nR1,nR1-12,S,,Lei nº 9.148/2016 — Quadro 10
ZDE 2,nR1,nR1-12,S,,Lei nº 9.148/2016 — Quadro 10
ZUSI,nR1,nR1-12,S,,Lei nº 9.148/2016 — Quadro 10
ZIT,nR1,nR1-12,S,,Lei nº 9.148/2016 — Quadro 10
ZPR 1,nR1,nR1-13,S,,Lei nº 9.148/2016 — Quadro 10
ZPR 2,nR1,nR1-13,S,,Lei nº 9.148/2016 — Quadro 10
ZPR 3,nR1,nR1-13,S,,Lei nº 9.148/2016 — Quadro 10
ZEIS 1,nR1,nR1-13,S,,Lei nº 9.148/2016 — Quadro 10
ZEIS 2,nR1,nR1-13,N,,Lei nº 9.148/2016 — Quadro 10
ZEIS 3,nR1,nR1-13,N,,Lei nº 9.148/2016 — Quadro 10
ZEIS 4,nR1,nR1-13,S,,Lei nº 9.148/2016 — Quadro 10
ZEIS 5,nR1,nR1-13,S,,Lei nº 9.148/2016 — Quadro 10
ZCMe 1/01,nR1,nR1-13,S,,Lei nº 9.148/2016 — Quadro 10
ZCMe 1/02,nR1,nR1-13,S,,Lei nº 9.148/2016 — Quadro 10
ZCMe 1/03,nR1,nR1-13,S,,Lei nº 9.148/2016 — Quadro 10
ZCMe 2,nR1,nR1-13,S,,Lei nº 9.148/2016 — Quadro 10
ZCMe - CA,nR1,nR1-13,S,,Lei nº 9.148/2016 — Quadro 10
ZCMu 1 - IPITANGA,nR1,nR1-13,S,,Lei nº 9.148/2016 — Quadro 10
ZCMu 2,nR1,nR1-13,S,,Lei nº 9.148/2016 — Quadro 10
ZCLMe,nR1,nR1-13,S,,Lei nº 9.148/2016 — Quadro 10
ZCLMu,nR1,nR1-13,S,,Lei nº 9.148/2016 — Quadro 10
ZDE 1,nR1,nR1-13,S,,Lei nº 9.148/2016 — Quadro 10
ZDE 2,nR1,nR1-13,S,,Lei nº 9.148/2016 — Quadro 10
ZUSI,nR1,nR1-13,S,,Lei nº 9.148/2016 — Quadro 10
ZIT,nR1,nR1-13,S,,Lei nº 9.148/2016 — Quadro 10
ZPR 1,nR2,nR2-01,N,,Lei nº 9.148/2016 — Quadro 10
ZPR 2,nR2,nR2-01,S,,Lei nº 9.148/2016 — Quadro 10
ZPR 3,nR2,nR2-01,S,,Lei nº 9.148/2016 — Quadro 10
ZEIS 1,nR2,nR2-01,S,,Lei nº 9.148/2016 — Quadro 10
ZEIS 2,nR2,nR2-01,N,,Lei nº 9.148/2016 — Quadro 10
ZEIS 3,nR2,nR2-01,N,,Lei nº 9.148/2016 — Quadro 10
ZEIS 4,nR2,nR2-01,S,,Lei nº 9.148/2016 — Quadro 10
ZEIS 5,nR2,nR2-01,S,,Lei nº 9.148/2016 — Quadro 10
ZCMe 1/01,nR2,nR2-01,S,,Lei nº 9.148/2016 — Quadro 10
ZCMe 1/02,nR2,nR2-01,S,,Lei nº 9.148/2016 — Quadro 10
ZCMe 1/03,nR2,nR2-01,S,,Lei nº 9.148/2016 — Quadro 10
ZCMe 2,nR2,nR2-01,S,,Lei nº 9.148/2016 — Quadro 10
ZCMe - CA,nR2,nR2-01,S,,Lei nº 9.148/2016 — Quadro 10
ZCMu 1 - IPITANGA,nR2,nR2-01,S,,Lei nº 9.148/2016 — Quadro 10
ZCMu 2,nR2,nR2-01,S,,Lei nº 9.148/2016 — Quadro 10
ZCLMe,nR2,nR2-01,S,,Lei nº 9.148/2016 — Quadro 10
ZCLMu,nR2,nR2-01,S,,Lei nº 9.148/2016 — Quadro 10
ZDE 1,nR2,nR2-01,S,,Lei nº 9.148/2016 — Quadro 10
ZDE 2,nR2,nR2-01,S,,Lei nº 9.148/2016 — Quadro 10
ZUSI,nR2,nR2-01,S,,Lei nº 9.148/2016 — Quadro 10
ZIT,nR2,nR2-01,N,,Lei nº 9.148/2016 — Quadro 10
ZPR 1,nR2,nR2-02,N,,Lei nº 9.148/2016 — Quadro 10
ZPR 2,nR2,nR2-02,S,,Lei nº 9.148/2016 — Quadro 10
ZPR 3,nR2,nR2-02,S,,Lei nº 9.148/2016 — Quadro 10
ZEIS 1,nR2,nR2-02,S,,Lei nº 9.148/2016 — Quadro 10
ZEIS 2,nR2,nR2-02,N,,Lei nº 9.148/2016 — Quadro 10
ZEIS 3,nR2,nR2-02,N,,Lei nº 9.148/2016 — Quadro 10
ZEIS 4,nR2,nR2-02,S,,Lei nº 9.148/2016 — Quadro 10
ZEIS 5,nR2,nR2-02,S,,Lei nº 9.148/2016 — Quadro 10
ZCMe 1/01,nR2,nR2-02,S,,Lei nº 9.148/2016 — Quadro 10
ZCMe 1/02,nR2,nR2-02,S,,Lei nº 9.148/2016 — Quadro 10
ZCMe 1/03,nR2,nR2-02,S,,Lei nº 9.148/2016 — Quadro 10
ZCMe 2,nR2,nR2-02,S,,Lei nº 9.148/2016 — Quadro 10
ZCMe - CA,nR2,nR2-02,S,,Lei nº 9.148/2016 — Quadro 10
ZCMu 1 - IPITANGA,nR2,nR2-02,S,,Lei nº 9.148/2016 — Quadro 10
ZCMu 2,nR2,nR2-02,S,,Lei nº 9.148/2016 — Quadro 10
ZCLMe,nR2,nR2-02,S,,Lei nº 9.148/2016 — Quadro 10
ZCLMu,nR2,nR2-02,S,,Lei nº 9.148/2016 — Quadro 10
ZDE 1,nR2,nR2-02,S,,Lei nº 9.148/2016 — Quadro 10
ZDE 2,nR2,nR2-02,S,,Lei nº 9.148/2016 — Quadro 10
ZUSI,nR2,nR2-02,S,,Lei nº 9.148/2016 — Quadro 10
ZIT,nR2,nR2-02,S,,Lei nº 9.148/2016 — Quadro 10
ZPR 1,nR2,nR2-03,N,,Lei nº 9.148/2016 — Quadro 10
ZPR 2,nR2,nR2-03,S,,Lei nº 9.148/2016 — Quadro 10
ZPR 3,nR2,nR2-03,S,,Lei nº 9.148/2016 — Quadro 10
ZEIS 1,nR2,nR2-03,S,,Lei nº 9.148/2016 — Quadro 10
ZEIS 2,nR2,nR2-03,S,,Lei nº 9.148/2016 — Quadro 10
ZEIS 3,nR2,nR2-03,S,,Lei nº 9.148/2016 — Quadro 10
ZEIS 4,nR2,nR2-03,S,,Lei nº 9.148/2016 — Quadro 10
ZEIS 5,nR2,nR2-03,S,,Lei nº 9.148/2016 — Quadro 10
ZCMe 1/01,nR2,nR2-03,S,,Lei nº 9.148/2016 — Quadro 10
ZCMe 1/02,nR2,nR2-03,S,,Lei nº 9.148/2016 — Quadro 10
ZCMe 1/03,nR2,nR2-03,S,,Lei nº 9.148/2016 — Quadro 10
ZCMe 2,nR2,nR2-03,S,,Lei nº 9.148/2016 — Quadro 10
ZCMe - CA,nR2,nR2-03,S,,Lei nº 9.148/2016 — Quadro 10
ZCMu 1 - IPITANGA,nR2,nR2-03,S,,Lei nº 9.148/2016 — Quadro 10
ZCMu 2,nR2,nR2-03,S,,Lei nº 9.148/2016 — Quadro 10
ZCLMe,nR2,nR2-03,S,,Lei nº 9.148/2016 — Quadro 10
ZCLMu,nR2,nR2-03,S,,Lei nº 9.148/2016 — Quadro 10
ZDE 1,nR2,nR2-03,S,,Lei nº 9.148/2016 — Quadro 10
ZDE 2,nR2,nR2-03,S,,Lei nº 9.148/2016 — Quadro 10
ZUSI,nR2,nR2-03,S,,Lei nº 9.148/2016 — Quadro 10
ZIT,nR2,nR2-03,N,,Lei nº 9.148/2016 — Quadro 10
ZPR 1,nR2,nR2-04,N,,Lei nº 9.148/2016 — Quadro 10
ZPR 2,nR2,nR2-04,S,,Lei nº 9.148/2016 — Quadro 10
ZPR 3,nR2,nR2-04,S,,Lei nº 9.148/2016 — Quadro 10
ZEIS 1,nR2,nR2-04,S,,Lei nº 9.148/2016 — Quadro 10
ZEIS 2,nR2,nR2-04,N,,Lei nº 9.148/2016 — Quadro 10
ZEIS 3,nR2,nR2-04,N,,Lei nº 9.148/2016 — Quadro 10
ZEIS 4,nR2,nR2-04,S,,Lei nº 9.148/2016 — Quadro 10
ZEIS 5,nR2,nR2-04,S,,Lei nº 9.148/2016 — Quadro 10
ZCMe 1/01,nR2,nR2-04,S,,Lei nº 9.148/2016 — Quadro 10
ZCMe 1/02,nR2,nR2-04,S,,Lei nº 9.148/2016 — Quadro 10
ZCMe 1/03,nR2,nR2-04,S,,Lei nº 9.148/2016 — Quadro 10
ZCMe 2,nR2,nR2-04,S,,Lei nº 9.148/2016 — Quadro 10
ZCMe - CA,nR2,nR2-04,S,,Lei nº 9.148/2016 — Quadro 10
ZCMu 1 - IPITANGA,nR2,nR2-04,S,,Lei nº 9.148/2016 — Quadro 10
ZCMu 2,nR2,nR2-04,S,,Lei nº 9.148/2016 — Quadro 10
ZCLMe,nR2,nR2-04,S,,Lei nº 9.148/2016 — Quadro 10
ZCLMu,nR2,nR2-04,S,,Lei nº 9.148/2016 — Quadro 10
ZDE 1,nR2,nR2-04,S,,Lei nº 9.148/2016 — Quadro 10
ZDE 2,nR2,nR2-04,S,,Lei nº 9.148/2016 — Quadro 10
ZUSI,nR2,nR2-04,S,,Lei nº 9.148/2016 — Quadro 10
ZIT,nR2,nR2-04,N,,Lei nº 9.148/2016 — Quadro 10
ZPR 1,nR2,nR2-05,N,,Lei nº 9.148/2016 — Quadro 10
ZPR 2,nR2,nR2-05,S,,Lei nº 9.148/2016 — Quadro 10
ZPR 3,nR2,nR2-05,S,,Lei nº 9.148/2016 — Quadro 10
ZEIS 1,nR2,nR2-05,S,,Lei nº 9.148/2016 — Quadro 10
ZEIS 2,nR2,nR2-05,N,,Lei nº 9.148/2016 — Quadro 10
ZEIS 3,nR2,nR2-05,S,,Lei nº 9.148/2016 — Quadro 10
ZEIS 4,nR2,nR2-05,S,,Lei nº 9.148/2016 — Quadro 10
ZEIS 5,nR2,nR2-05,S,,Lei nº 9.148/2016 — Quadro 10
ZCMe 1/01,nR2,nR2-05,S,,Lei nº 9.148/2016 — Quadro 10
ZCMe 1/02,nR2,nR2-05,S,,Lei nº 9.148/2016 — Quadro 10
ZCMe 1/03,nR2,nR2-05,S,,Lei nº 9.148/2016 — Quadro 10
ZCMe 2,nR2,nR2-05,S,,Lei nº 9.148/2016 — Quadro 10
ZCMe - CA,nR2,nR2-05,S,,Lei nº 9.148/2016 — Quadro 10
ZCMu 1 - IPITANGA,nR2,nR2-05,S,,Lei nº 9.148/2016 — Quadro 10
ZCMu 2,nR2,nR2-05,S,,Lei nº 9.148/2016 — Quadro 10
ZCLMe,nR2,nR2-05,S,,Lei nº 9.148/2016 — Quadro 10
ZCLMu,nR2,nR2-05,S,,Lei nº 9.148/2016 — Quadro 10
ZDE 1,nR2,nR2-05,S,,Lei nº 9.148/2016 — Quadro 10
ZDE 2,nR2,nR2-05,S,,Lei nº 9.148/2016 — Quadro 10
ZUSI,nR2,nR2-05,S,,Lei nº 9.148/2016 — Quadro 10
ZIT,nR2,nR2-05,N,,Lei nº 9.148/2016 — Quadro 10
ZPR 1,nR2,nR2-06,N,,Lei nº 9.148/2016 — Quadro 10
ZPR 2,nR2,nR2-06,S,,Lei nº 9.148/2016 — Quadro 10
ZPR 3,nR2,nR2-06,S,,Lei nº 9.148/2016 — Quadro 10
ZEIS 1,nR2,nR2-06,S,,Lei nº 9.148/2016 — Quadro 10
ZEIS 2,nR2,nR2-06,N,,Lei nº 9.148/2016 — Quadro 10
ZEIS 3,nR2,nR2-06,N,,Lei nº 9.148/2016 — Quadro 10
ZEIS 4,nR2,nR2-06,S,,Lei nº 9.148/2016 — Quadro 10
ZEIS 5,nR2,nR2-06,S,,Lei nº 9.148/2016 — Quadro 10
ZCMe 1/01,nR2,nR2-06,S,,Lei nº 9.148/2016 — Quadro 10
ZCMe 1/02,nR2,nR2-06,S,,Lei nº 9.148/2016 — Quadro 10
ZCMe 1/03,nR2,nR2-06,S,,Lei nº 9.148/2016 — Quadro 10
ZCMe 2,nR2,nR2-06,S,,Lei nº 9.148/2016 — Quadro 10
ZCMe - CA,nR2,nR2-06,S,,Lei nº 9.148/2016 — Quadro 10
ZCMu 1 - IPITANGA,nR2,nR2-06,S,,Lei nº 9.148/2016 — Quadro 10
ZCMu 2,nR2,nR2-06,S,,Lei nº 9.148/2016 — Quadro 10
ZCLMe,nR2,nR2-06,S,,Lei nº 9.148/2016 — Quadro 10
ZCLMu,nR2,nR2-06,S,,Lei nº 9.148/2016 — Quadro 10
ZDE 1,nR2,nR2-06,S,,Lei nº 9.148/2016 — Quadro 10
ZDE 2,nR2,nR2-06,S,,Lei nº 9.148/2016 — Quadro 10
ZUSI,nR2,nR2-06,S,,Lei nº 9.148/2016 — Quadro 10
ZIT,nR2,nR2-06,N,,Lei nº 9.148/2016 — Quadro 10
ZPR 1,nR2,nR2-07,S,,Lei nº 9.148/2016 — Quadro 10
ZPR 2,nR2,nR2-07,S,,Lei nº 9.148/2016 — Quadro 10
ZPR 3,nR2,nR2-07,S,,Lei nº 9.148/2016 — Quadro 10
ZEIS 1,nR2,nR2-07,S,,Lei nº 9.148/2016 — Quadro 10
ZEIS 2,nR2,nR2-07,S,,Lei nº 9.148/2016 — Quadro 10
ZEIS 3,nR2,nR2-07,S,,Lei nº 9.148/2016 — Quadro 10
ZEIS 4,nR2,nR2-07,S,,Lei nº 9.148/2016 — Quadro 10
ZEIS 5,nR2,nR2-07,S,,Lei nº 9.148/2016 — Quadro 10
ZCMe 1/01,nR2,nR2-07,S,,Lei nº 9.148/2016 — Quadro 10
ZCMe 1/02,nR2,nR2-07,S,,Lei nº 9.148/2016 — Quadro 10
ZCMe 1/03,nR2,nR2-07,S,,Lei nº 9.148/2016 — Quadro 10
ZCMe 2,nR2,nR2-07,S,,Lei nº 9.148/2016 — Quadro 10
ZCMe - CA,nR2,nR2-07,S,,Lei nº 9.148/2016 — Quadro 10
ZCMu 1 - IPITANGA,nR2,nR2-07,S,,Lei nº 9.148/2016 — Quadro 10
ZCMu 2,nR2,nR2-07,S,,Lei nº 9.148/2016 — Quadro 10
ZCLMe,nR2,nR2-07,S,,Lei nº 9.148/2016 — Quadro 10
ZCLMu,nR2,nR2-07,S,,Lei nº 9.148/2016 — Quadro 10
ZDE 1,nR2,nR2-07,S,,Lei nº 9.148/2016 — Quadro 10
ZDE 2,nR2,nR2-07,S,,Lei nº 9.148/2016 — Quadro 10
ZUSI,nR2,nR2-07,S,,Lei nº 9.148/2016 — Quadro 10
ZIT,nR2,nR2-07,N,,Lei nº 9.148/2016 — Quadro 10
ZPR 1,nR2,nR2-08,N,,Lei nº 9.148/2016 — Quadro 10
ZPR 2,nR2,nR2-08,N,,Lei nº 9.148/2016 — Quadro 10
ZPR 3,nR2,nR2-08,S(C),,Lei nº 9.148/2016 — Quadro 10
ZEIS 1,nR2,nR2-08,S(C),,Lei nº 9.148/2016 — Quadro 10
ZEIS 2,nR2,nR2-08,N,,Lei nº 9.148/2016 — Quadro 10
ZEIS 3,nR2,nR2-08,N,,Lei nº 9.148/2016 — Quadro 10
ZEIS 4,nR2,nR2-08,N,,Lei nº 9.148/2016 — Quadro 10
ZEIS 5,nR2,nR2-08,N,,Lei nº 9.148/2016 — Quadro 10
ZCMe 1/01,nR2,nR2-08,S,,Lei nº 9.148/2016 — Quadro 10
ZCMe 1/02,nR2,nR2-08,S,,Lei nº 9.148/2016 — Quadro 10
ZCMe 1/03,nR2,nR2-08,S,,Lei nº 9.148/2016 — Quadro 10
ZCMe 2,nR2,nR2-08,S,,Lei nº 9.148/2016 — Quadro 10
ZCMe - CA,nR2,nR2-08,S,,Lei nº 9.148/2016 — Quadro 10
ZCMu 1 - IPITANGA,nR2,nR2-08,S,,Lei nº 9.148/2016 — Quadro 10
ZCMu 2,nR2,nR2-08,S,,Lei nº 9.148/2016 — Quadro 10
ZCLMe,nR2,nR2-08,S,,Lei nº 9.148/2016 — Quadro 10
ZCLMu,nR2,nR2-08,S,,Lei nº 9.148/2016 — Quadro 10
ZDE 1,nR2,nR2-08,S,,Lei nº 9.148/2016 — Quadro 10
ZDE 2,nR2,nR2-08,S,,Lei nº 9.148/2016 — Quadro 10
ZUSI,nR2,nR2-08,N,,Lei nº 9.148/2016 — Quadro 10
ZIT,nR2,nR2-08,S,,Lei nº 9.148/2016 — Quadro 10
ZPR 1,nR2,nR2-09,N,,Lei nº 9.148/2016 — Quadro 10
ZPR 2,nR2,nR2-09,N,,Lei nº 9.148/2016 — Quadro 10
ZPR 3,nR2,nR2-09,S,,Lei nº 9.148/2016 — Quadro 10
ZEIS 1,nR2,nR2-09,S,,Lei nº 9.148/2016 — Quadro 10
ZEIS 2,nR2,nR2-09,N,,Lei nº 9.148/2016 — Quadro 10
ZEIS 3,nR2,nR2-09,N,,Lei nº 9.148/2016 — Quadro 10
ZEIS 4,nR2,nR2-09,S,,Lei nº 9.148/2016 — Quadro 10
ZEIS 5,nR2,nR2-09,S,,Lei nº 9.148/2016 — Quadro 10
ZCMe 1/01,nR2,nR2-09,S,,Lei nº 9.148/2016 — Quadro 10
ZCMe 1/02,nR2,nR2-09,S,,Lei nº 9.148/2016 — Quadro 10
ZCMe 1/03,nR2,nR2-09,S,,Lei nº 9.148/2016 — Quadro 10
ZCMe 2,nR2,nR2-09,S,,Lei nº 9.148/2016 — Quadro 10
ZCMe - CA,nR2,nR2-09,N,,Lei nº 9.148/2016 — Quadro 10
ZCMu 1 - IPITANGA,nR2,nR2-09,S,,Lei nº 9.148/2016 — Quadro 10
ZCMu 2,nR2,nR2-09,S,,Lei nº 9.148/2016 — Quadro 10
ZCLMe,nR2,nR2-09,S,,Lei nº 9.148/2016 — Quadro 10
ZCLMu,nR2,nR2-09,S,,Lei nº 9.148/2016 — Quadro 10
ZDE 1,nR2,nR2-09,S,,Lei nº 9.148/2016 — Quadro 10
ZDE 2,nR2,nR2-09,S,,Lei nº 9.148/2016 — Quadro 10
ZUSI,nR2,nR2-09,S,,Lei nº 9.148/2016 — Quadro 10
ZIT,nR2,nR2-09,N,,Lei nº 9.148/2016 — Quadro 10
ZPR 1,nR2,nR2-10,N,,Lei nº 9.148/2016 — Quadro 10
ZPR 2,nR2,nR2-10,S,,Lei nº 9.148/2016 — Quadro 10
ZPR 3,nR2,nR2-10,S,,Lei nº 9.148/2016 — Quadro 10
ZEIS 1,nR2,nR2-10,S,,Lei nº 9.148/2016 — Quadro 10
ZEIS 2,nR2,nR2-10,N,,Lei nº 9.148/2016 — Quadro 10
ZEIS 3,nR2,nR2-10,N,,Lei nº 9.148/2016 — Quadro 10
ZEIS 4,nR2,nR2-10,S,,Lei nº 9.148/2016 — Quadro 10
ZEIS 5,nR2,nR2-10,S,,Lei nº 9.148/2016 — Quadro 10
ZCMe 1/01,nR2,nR2-10,S,,Lei nº 9.148/2016 — Quadro 10
ZCMe 1/02,nR2,nR2-10,S,,Lei nº 9.148/2016 — Quadro 10
ZCMe 1/03,nR2,nR2-10,S,,Lei nº 9.148/2016 — Quadro 10
ZCMe 2,nR2,nR2-10,S,,Lei nº 9.148/2016 — Quadro 10
ZCMe - CA,nR2,nR2-10,S,,Lei nº 9.148/2016 — Quadro 10
ZCMu 1 - IPITANGA,nR2,nR2-10,S,,Lei nº 9.148/2016 — Quadro 10
ZCMu 2,nR2,nR2-10,S,,Lei nº 9.148/2016 — Quadro 10
ZCLMe,nR2,nR2-10,S,,Lei nº 9.148/2016 — Quadro 10
ZCLMu,nR2,nR2-10,S,,Lei nº 9.148/2016 — Quadro 10
ZDE 1,nR2,nR2-10,S,,Lei nº 9.148/2016 — Quadro 10
ZDE 2,nR2,nR2-10,S,,Lei nº 9.148/2016 — Quadro 10
ZUSI,nR2,nR2-10,S,,Lei nº 9.148/2016 — Quadro 10
ZIT,nR2,nR2-10,N,,Lei nº 9.148/2016 — Quadro 10
ZPR 1,nR2,nR2-11,N,,Lei nº 9.148/2016 — Quadro 10
ZPR 2,nR2,nR2-11,S,,Lei nº 9.148/2016 — Quadro 10
ZPR 3,nR2,nR2-11,S,,Lei nº 9.148/2016 — Quadro 10
ZEIS 1,nR2,nR2-11,S,,Lei nº 9.148/2016 — Quadro 10
ZEIS 2,nR2,nR2-11,N,,Lei nº 9.148/2016 — Quadro 10
ZEIS 3,nR2,nR2-11,N,,Lei nº 9.148/2016 — Quadro 10
ZEIS 4,nR2,nR2-11,S,,Lei nº 9.148/2016 — Quadro 10
ZEIS 5,nR2,nR2-11,S,,Lei nº 9.148/2016 — Quadro 10
ZCMe 1/01,nR2,nR2-11,S,,Lei nº 9.148/2016 — Quadro 10
ZCMe 1/02,nR2,nR2-11,S,,Lei nº 9.148/2016 — Quadro 10
ZCMe 1/03,nR2,nR2-11,S,,Lei nº 9.148/2016 — Quadro 10
ZCMe 2,nR2,nR2-11,S,,Lei nº 9.148/2016 — Quadro 10
ZCMe - CA,nR2,nR2-11,S,,Lei nº 9.148/2016 — Quadro 10
ZCMu 1 - IPITANGA,nR2,nR2-11,S,,Lei nº 9.148/2016 — Quadro 10
ZCMu 2,nR2,nR2-11,S,,Lei nº 9.148/2016 — Quadro 10
ZCLMe,nR2,nR2-11,S,,Lei nº 9.148/2016 — Quadro 10
ZCLMu,nR2,nR2-11,S,,Lei nº 9.148/2016 — Quadro 10
ZDE 1,nR2,nR2-11,S,,Lei nº 9.148/2016 — Quadro 10
ZDE 2,nR2,nR2-11,S,,Lei nº 9.148/2016 — Quadro 10
ZUSI,nR2,nR2-11,S,,Lei nº 9.148/2016 — Quadro 10
ZIT,nR2,nR2-11,N,,Lei nº 9.148/2016 — Quadro 10
ZPR 1,nR2,nR2-12,N,,Lei nº 9.148/2016 — Quadro 10
ZPR 2,nR2,nR2-12,S,,Lei nº 9.148/2016 — Quadro 10
ZPR 3,nR2,nR2-12,S,,Lei nº 9.148/2016 — Quadro 10
ZEIS 1,nR2,nR2-12,S,,Lei nº 9.148/2016 — Quadro 10
ZEIS 2,nR2,nR2-12,N,,Lei nº 9.148/2016 — Quadro 10
ZEIS 3,nR2,nR2-12,N,,Lei nº 9.148/2016 — Quadro 10
ZEIS 4,nR2,nR2-12,S,,Lei nº 9.148/2016 — Quadro 10
ZEIS 5,nR2,nR2-12,S,,Lei nº 9.148/2016 — Quadro 10
ZCMe 1/01,nR2,nR2-12,S,,Lei nº 9.148/2016 — Quadro 10
ZCMe 1/02,nR2,nR2-12,S,,Lei nº 9.148/2016 — Quadro 10
ZCMe 1/03,nR2,nR2-12,S,,Lei nº 9.148/2016 — Quadro 10
ZCMe 2,nR2,nR2-12,S,,Lei nº 9.148/2016 — Quadro 10
ZCMe - CA,nR2,nR2-12,S,,Lei nº 9.148/2016 — Quadro 10
ZCMu 1 - IPITANGA,nR2,nR2-12,S,,Lei nº 9.148/2016 — Quadro 10
ZCMu 2,nR2,nR2-12,S,,Lei nº 9.148/2016 — Quadro 10
ZCLMe,nR2,nR2-12,S,,Lei nº 9.148/2016 — Quadro 10
ZCLMu,nR2,nR2-12,S,,Lei nº 9.148/2016 — Quadro 10
ZDE 1,nR2,nR2-12,S,,Lei nº 9.148/2016 — Quadro 10
ZDE 2,nR2,nR2-12,S,,Lei nº 9.148/2016 — Quadro 10
ZUSI,nR2,nR2-12,S,,Lei nº 9.148/2016 — Quadro 10
ZIT,nR2,nR2-12,N,,Lei nº 9.148/2016 — Quadro 10
ZPR 1,ID1,ID1-02,N,,Lei nº 9.148/2016 — Quadro 10
