CNAE,Descrição do CNAE,Fator Multiplicador,Risco,Há condicionante?,Condicionante,Pergunta relacionada à condicionante,Pergunta complementar (direcionadora),Autorizado para Escritório Virtual?,Autorizado para MEI?,Macroárea,Exige RT?,Exige PBA?,Documentação específica por CNAE,Base Legal documentação específica por CNAE
4645-1/02,COMÉRCIO ATACADISTA DE PRÓTESES E ARTIGOS DE ORTOPEDIA,Não,Alto,Não,−,−,Realiza importação e/ou exportação do produto?,Não,Não,Interesse da saúde,Sim,,,
4645-1/03,COMÉRCIO ATACADISTA DE PRODUTOS ODONTOLÓGICOS,Não,Alto,Não,−,−,Realiza importação e/ou exportação do produto?,Não,Não,Interesse da saúde,Sim,,,
4646-0/01,COMÉRCIO ATACADISTA DE COSMÉTICOS E PRODUTOS DE PERFUMARIA,Não,Alto,Não,−,−,Realiza importação e/ou exportação do produto?,Não,Não,Interesse da saúde,Sim,,,
4646-0/02,COMÉRCIO ATACADISTA DE PRODUTOS DE HIGIENE PESSOAL,Não,Alto,Não,−,−,Realiza importação e/ou exportação do produto?,Não,Não,Interesse da saúde,Sim,,,
4649-4/08,"COMÉRCIO ATACADISTA DE PRODUTOS DE HIGIENE, LIMPEZA E CONSERVAÇÃO DOMICILIAR",Não,Alto,Não,−,−,"Realiza importação e/ou exportação do produto?
Realiza o fracionamento de produtos?",Não,Não,Interesse da saúde,Sim,,,
4649-4/09,"COMÉRCIO ATACADISTA DE PRODUTOS DE HIGIENE, LIMPEZA E CONSERVAÇÃO DOMICILIAR, COM ATIVIDADE DE FRACIONAMENTO E ACONDICIONAMENTO ASSOCIADA",Não,Alto,Não,−,−,Realiza importação e/ou exportação do produto?,Não,Não,Interesse da saúde,Sim,,,
4649-4/99,COMÉRCIO ATACADISTA DE OUTROS EQUIPAMENTOS E ARTIGOS DE USO PESSOAL E DOMÉSTICO NÃO ESPECIFICADOS ANTERIORMENTE,Não,Médio,Não,−,−,−,Não,Não,Interesse da saúde,Não,,,
4664-8/00,"COMÉRCIO ATACADISTA DE MÁQUINAS, APARELHOS E EQUIPAMENTOS PARA USO ODONTO MÉDICO HOSPITALAR; PARTES E PEÇAS",Não,Médio,Sim,"Desde que o resultado do exercício da atividade não compreenda a comercialização de produtos para a saúde. Caso seja, será considerado Alto Risco.",O resultado do exercício da atividade compreenda a comercialização de produtos para a saúde?,−,Não,Não,Interesse da saúde,"Sim, caso seja Alto Risco",,,
4686-9/02,COMÉRCIO ATACADISTA DE EMBALAGENS,Não,Baixo,Não,−,−,−,Não,Não,Interesse da saúde,Não,,,
4687-7/01,COMÉRCIO ATACADISTA DE RESÍDUOS DE PAPEL E PAPELÃO,Não,Baixo,Não,−,−,−,Não,Não,Interesse da saúde,Não,,,
4687-7/02,"COMÉRCIO ATACADISTA DE RESÍDUOS E SUCATAS NÃO METÁLICOS, EXCETO DE PAPEL E PAPELÃO",Não,Baixo,Não,−,−,−,Não,Não,Interesse da saúde,Não,,,
4687-7/03,COMÉRCIO ATACADISTA DE RESÍDUOS E SUCATAS METÁLICOS,Não,Baixo,Não,−,−,−,Não,Não,Interesse da saúde,Não,,,
4691-5/00,"COMÉRCIO ATACADISTA DE MERCADORIAS EM GERAL, COM PREDOMINÂNCIA DE PRODUTOS ALIMENTÍCIOS",Não,Baixo,Não,−,−,"Realiza importação e/ou exportação do produto?
Realiza o fracionamento de produtos?",Não,Não,Alimentos,Não,,,
4711-3/01,"COMÉRCIO VAREJISTA DE MERCADORIAS EM GERAL, COM PREDOMINÂNCIA DE PRODUTOS ALIMENTÍCIOS - HIPERMERCADOS",Não,Médio,Não,−,−,−,Não,Não,Alimentos,Não,,,
4711-3/02,"COMÉRCIO VAREJISTA DE MERCADORIAS EM GERAL, COM PREDOMINÂNCIA DE PRODUTOS ALIMENTÍCIOS - SUPERMERCADOS",Não,Médio,Não,−,−,−,Não,Não,Alimentos,Não,,,
4712-1/00,"COMÉRCIO VAREJISTA DE MERCADORIAS EM GERAL, COM PREDOMINÂNCIA DE PRODUTOS ALIMENTÍCIOS - MINIMERCADOS, MERCEARIAS E ARMAZENS",Não,Baixo,Não,−,−,−,Não,Sim,Alimentos,Não,,,
4721-1/02,PADARIA E CONFEITARIA COM PREDOMINÂNCIA DE REVENDA,Não,Baixo,Não,−,−,−,Não,Sim,Alimentos,Não,,,
4721-1/03,COMÉRCIO VAREJISTA DE LATICÍNIOS E FRIOS,Não,Médio,Não,−,−,−,Não,Sim,Alimentos,Não,,,
4721-1/04,"COMÉRCIO VAREJISTA DE DOCES, BALAS, BOMBONS E SEMELHANTES",Não,Baixo,Não,−,−,−,Não,Sim,Alimentos,Não,,,
4722-9/01,COMÉRCIO VAREJISTA DE CARNES - AÇOUGUES,Não,Baixo,Não,−,−,−,Não,Sim,Alimentos,Não,,,
4722-9/02,PEIXARIA,Não,Médio,Não,−,−,−,Não,Sim,Alimentos,Não,,,
4723-7/00,COMÉRCIO VAREJISTA DE BEBIDAS,Não,Baixo,Não,−,−,−,Não,Sim,Alimentos,Não,,,
4724-5/00,COMÉRCIO VAREJISTA DE HORTIFRUTIGRANJEIROS,Não,Médio,Não,−,−,−,Não,Sim,Alimentos,Não,,,
4729-6/01,TABACARIA,Não,Médio,Não,−,−,−,Não,Sim,Interesse da saúde,Não,,,
4729-6/02,COMÉRCIO VAREJISTA DE MERCADORIAS EM LOJAS DE CONVENIÊNCIA,Não,Baixo,Não,−,−,−,Não,Não,Alimentos,Não,,,
4729-6/99,"COMÉRCIO VAREJISTA DE PRODUTOS ALIMENTÍCIOS EM GERAL, OU ESPECIALIZADO EM PRODUTOS ALIMENTÍCIOS NÃO ESPECIFICADOS ANTERIORMENTE: CASA DE PRODUTOS NATURAIS/SUPLEMENTOS ALIMENTARES",Não,Baixo,Não,−,−,−,Não,Sim,Alimentos,Não,,,
4729-6/99,"COMÉRCIO VAREJISTA DE PRODUTOS ALIMENTÍCIOS EM GERAL, OU ESPECIALIZADO EM PRODUTOS ALIMENTÍCIOS NÃO ESPECIFICADOS ANTERIORMENTE: DELICATESSEN",Não,Baixo,Não,−,−,−,Não,Sim,Alimentos,Não,,,
4729-6/99,"COMÉRCIO VAREJISTA DE PRODUTOS ALIMENTÍCIOS EM GERAL, OU ESPECIALIZADO EM PRODUTOS ALIMENTÍCIOS NÃO ESPECIFICADOS ANTERIORMENTE: PRODUTOS CONGELADOS",Não,Baixo,Não,−,−,−,Não,Sim,Alimentos,Não,,,
4771-7/01,"COMÉRCIO VAREJISTA DE PRODUTOS FARMACÊUTICOS, SEM MANIPULAÇÃO DE FÓRMULAS",Não,Alto,Não,−,−,Comercializa ou transporta medicamentos sujeitos à Portaria Federal n° 344/98?,Não,Não,Medicamentos,Sim,,,
4771-7/02,"COMÉRCIO VAREJISTA DE PRODUTOS FARMACÊUTICOS, COM MANIPULAÇÃO DE FÓRMULAS",Não,Alto,Não,−,−,Comercializa ou transporta medicamentos sujeitos à Portaria Federal n° 344/98?,Não,Não,Medicamentos,Sim,,,
4771/7/03,COMÉRCIO VAREJISTA DE PRODUTOS FARMACÊUTICOS HOMEOPÁTICOS,Não,Alto,Não,−,−,Comercializa ou transporta medicamentos sujeitos à Portaria Federal n° 344/98?,Não,Não,Medicamentos,Sim,,,
4772-5/00,"COMÉRCIO VAREJISTA DE COSMÉTICOS, PRODUTOS DE PERFUMARIA E DE HIGIENE PESSOAL",Não,Baixo,Não,−,−,Realiza o fracionamento de produtos?,Não,Sim,Interesse da saúde,"Sim, caso haja fracionamento de produtos",,,
4773-3/00,COMÉRCIO VAREJISTA DE ARTIGOS MÉDICOS E ORTOPÉDICOS,Não,Baixo,Não,−,−,"Serão comercializados APENAS produtos DE USO PESSOAL que não dependam de assistência profissional para sua utilização (uso leigo), conforme especificação definida no registro ou cadastro do produto junto à ANVISA?",Não,Sim,Interesse da saúde,"Sim, caso haja produtos de uso não leigo",,,
4774-1/00,COMÉRCIO VAREJISTA DE ARTIGOS DE ÓPTICA,Não,Baixo,Não,−,−,Comercializa ou fabrica lentes de grau?,Não,Sim,Interesse da saúde,Sim,,,
4789-0/05,COMÉRCIO VAREJISTA DE PRODUTOS SANEANTES DOMISSANITÁRIOS,Não,Médio,Não,−,−,−,Não,Sim,Interesse da saúde,"Sim, caso haja fracionamento de produtos",,,
4789-0/99,COMÉRCIO VAREJISTA DE OUTROS PRODUTOS NÃO ESPECIFICADOS ANTERIORMENTE,Não,Médio,Não,−,−,−,Não,Sim,Interesse da saúde,Não,,,
4930-2/01,"TRANSPORTE RODOVIÁRIO DE CARGAS - EXCETO PRODUTOS PERIGOSOS E MUDANÇAS, MUNICIPAL: TRANSPORTADORA DE ALIMENTOS E/OU PRODUTOS ALIMENTÍCIOS",Não,Médio,Sim,"Desde que não haja no exercício da atividade o transporte e/ou armazenamento de medicamento, cosmético, perfume, produto de higiene, saneante, produto para saúde, sangue, produtos que necessitam de condições especiais de temperatura e umidade. Caso haja, será considerado Alto Risco.",Haverá no exercício da atividade o transporte e/ou armazenamento de  produtos que necessitam de condições especiais de temperatura e umidade?,−,Sim,Sim,Alimentos,Não,,,
4930-2/01,"TRANSPORTE RODOVIÁRIO DE CARGAS - EXCETO PRODUTOS PERIGOSOS E MUDANÇAS, MUNICIPAL: TRANSPORTADORA DE PRODUTOS DE INTERESSE DA SAÚDE",Não,Médio,Sim,"Desde que não haja no exercício da atividade o transporte e/ou armazenamento de medicamento, cosmético, perfume, produto de higiene, saneante, produto para saúde, sangue, produtos que necessitam de condições especiais de temperatura e umidade. Caso haja, será considerado Alto Risco.","Haverá no exercício da atividade o transporte e/ou armazenamento de medicamento, cosmético, perfume, produto de higiene, saneante, produto para saúde, sangue, produtos que necessitam de condições especiais de temperatura e umidade e/ou será realizado o transporte de medicamentos?","Realiza o transporte de medicamentos?
Transporta medicamentos sujeitos à Portaria Federal n° 344/98?",Sim,Sim,Interesse da saúde,"Sim, caso seja Alto Risco",,,
4930-2/02,"TRANSPORTE RODOVIÁRIO DE CARGAS - EXCETO PRODUTOS PERIGOSOS E MUDANÇAS - INTERMUNICIPAL, INTERESTADUAL E INTERNACIONAL: TRANSPORTADORA DE ALIMENTOS E/OU PRODUTOS ALIMENTÍCIOS",Não,Médio,Sim,"Desde que não haja no exercício da atividade o transporte e/ou armazenamento de medicamento, cosmético, perfume, produto de higiene, saneante, produto para saúde, sangue, produtos que necessitam de condições especiais de temperatura e umidade. Caso haja, será considerado Alto Risco.",Haverá no exercício da atividade o transporte e/ou armazenamento de  produtos que necessitam de condições especiais de temperatura e umidade?,−,Sim,Sim,Alimentos,Não,,,
4930-2/02,"TRANSPORTE RODOVIÁRIO DE CARGAS - EXCETO PRODUTOS PERIGOSOS E MUDANÇAS - INTERMUNICIPAL, INTERESTADUAL E INTERNACIONAL: TRANSPORTADORA DE PRODUTOS DE INTERESSE DA SAÚDE",Não,Médio,Sim,"Desde que não haja no exercício da atividade o transporte e/ou armazenamento de medicamento, cosmético, perfume, produto de higiene, saneante, produto para saúde, sangue, produtos que necessitam de condições especiais de temperatura e umidade. Caso haja, será considerado Alto Risco.","Haverá no exercício da atividade o transporte e/ou armazenamento de medicamento, cosmético, perfume, produto de higiene, saneante, produto para saúde, sangue, produtos que necessitam de condições especiais de temperatura e umidade e/ou será realizado o transporte de medicamentos? Caso sim, será Alto Risco.","Realiza o transporte de medicamentos?
Serão transportados medicamentos sujeitos à Portaria Federal n° 344/1998?",Sim,Sim,Interesse da saúde,"Sim, caso seja Alto Risco",,,
5211-7/01,ARMAZÉNS GERAIS - EMISSÃO DE WARRANTS,Não,Médio,Sim,"Desde que não haja, no exercício da atividade, o armazenamento de medicamento, cosmético, perfume, produto de higiene, saneante, produto para saúde, sangue e/ou produtos que necessitem de condições especiais de temperatura e umidade. Caso haja, será considerado Alto Risco.","Haverá, no exercício da atividade, o armazenamento de medicamento, cosmético, perfume, produto de higiene, saneante, produto para saúde, sangue e/ou produtos que necessitem de condições especiais de temperatura e umidade?",−,Não,NÃO,Interesse da saúde,"Sim, caso seja Alto Risco",,,
5211-7/99,DEPÓSITO DE MERCADORIAS PARA TERCEIROS - EXCETO ARMAZÉNS GERAIS E GUARDA-MÓVEIS,Não,Médio,Sim,"Desde que não haja, no exercício da atividade, o armazenamento de medicamento, cosmético, perfume, produto de higiene, saneante, produto para saúde, sangue e/ou produtos que necessitem de condições especiais de temperatura e umidade. Caso haja, será considerado Alto Risco.","Haverá, no exercício da atividade, o armazenamento de medicamento, cosmético, perfume, produto de higiene, saneante, produto para saúde, sangue e/ou produtos que necessitem de condições especiais de temperatura e umidade?",−,Não,NÃO,Interesse da saúde,"Sim, caso seja Alto Risco",,,
5222-2/00,TERMINAIS RODOVIÁRIOS E FERROVIÁRIOS,Não,Médio,Não,−,−,−,Não,NÃO,Interesse da saúde,Não,,,
5320-2/02,SERVIÇOS DE ENTREGA RÁPIDA,Não,Médio,Não,−,−,−,Não,Sim,Interesse da saúde,Não,,,
5510-8/01,HOTÉIS/POUSADA (POR CÔMODO),Sim,Médio,Não,−,−,−,Não,Não,Interesse da saúde,Não,,,
5510-8/02,APART HOTÉIS (POR CÔMODO),Sim,Médio,Não,−,−,−,Não,Não,Interesse da saúde,Não,,,
5510-8/03,MOTÉIS (POR CÔMODO),Sim,Médio,Não,−,−,−,Não,Não,Interesse da saúde,Não,,,
5590-6/01,"ALBERGUES, EXCETO ASSISTENCIAIS (POR CÔMODO)",Sim,Baixo,Não,−,−,−,Não,Sim,Interesse da saúde,Não,,,
5590-6/02,CAMPINGS,Não,Baixo,Não,−,−,−,Não,Sim,Interesse da saúde,Não,,,
5590-6/03,PENSÕES (POR CÔMODO),Sim,Baixo,Não,−,−,−,Não,Sim,Interesse da saúde,Não,,,
5590-6/99,OUTROS ALOJAMENTOS NÃO ESPECIFICADOS ANTERIORMENTE (POR CÔMODO),Sim,Médio,Não,−,−,−,Não,Sim,Interesse da saúde,Não,,,
5611-2/01,RESTAURANTES E SIMILARES: CHURRASCARIA,Não,Médio,Não,−,−,−,Não,Sim,Alimentos,Não,,,
5611-2/01,RESTAURANTES E SIMILARES: PIZZARIA CONSUMO LOCAL,Não,Médio,Não,−,−,−,Não,Sim,Alimentos,Não,,,
5611-2/01,RESTAURANTES E SIMILARES: RESTAURANTE/REFEITÓRIO,Não,Médio,Não,−,−,−,Não,Sim,Alimentos,Não,,,
5611-2/01,RESTAURANTES E SIMILARES: ROTISSERIA,Não,Médio,Não,−,−,−,Não,Sim,Alimentos,Não,,,
5611-2/03,"LANCHONETES, CASAS DE CHÁ, DE SUCOS E SIMILARES: CAFETERIA",Não,Baixo,Não,−,−,−,Não,Sim,Alimentos,Não,,,
5611-2/03,"LANCHONETES, CASAS DE CHÁ, DE SUCOS E SIMILARES: LANCHONETE",Não,Baixo,Não,−,−,−,Não,Sim,Alimentos,Não,,,
5611-2/03,"LANCHONETES, CASAS DE CHÁ, DE SUCOS E SIMILARES: PASTELARIA",Não,Baixo,Não,−,−,−,Não,Sim,Alimentos,Não,,,
5611-2/03,"LANCHONETE, CASAS DE CHÁ, DE SUCOS E SIMILARES: SORVETERIA",Não,Baixo,Não,−,−,−,Não,Sim,Alimentos,Não,,,
5611-2/04,"BARES E OUTROS ESTABELECIMENTOS ESPECIALIZADOS EM SERVIR BEBIDAS, SEM ENTRETENIMENTO",Não,Baixo,Não,−,−,−,Não,Sim,Alimentos,Não,,,
5611-2/05,"BARES E OUTROS ESTABELECIMENTOS ESPECIALIZADOS EM SERVIR BEBIDAS, COM ENTRETENIMENTO",Não,Baixo,Não,−,−,−,Não,Sim,Alimentos,Não,,,
5612-1/00,SERVIÇOS AMBULANTES DE ALIMENTAÇÃO,Não,Baixo,Não,−,−,−,Sim,Sim,Alimentos,Não,,,
5620-1/01,FORNECIMENTO DE ALIMENTOS PREPARADOS PREPONDERANTE MENTE PARA EMPRESAS,Não,Alto,Não,−,−,−,Não,Sim,Alimentos,Não,,,
5620-1/02,SERVIÇOS DE ALIMENTAÇÃO PARA EVENTOS E RECEPÇÕES - BUFÊ,Não,Médio,Não,−,−,−,Não,Sim,Alimentos,Não,,,
5620-1/03,CANTINAS - SERVIÇOS DE ALIMENTAÇÃO PRIVATIVOS,Não,Médio,Não,−,−,−,Não,Sim,Alimentos,Não,,,
5620-1/04,FORNECIMENTO DE ALIMENTOS PREPARADOS PREPONDERANTEMENTE PARA CONSUMO DOMICILIAR,Não,Baixo,Não,−,−,−,Não,Sim,Alimentos,Não,,,
5620-1/04,FORNECIMENTO DE ALIMENTOS PREPARADOS PREPONDERANTEMENTE PARA CONSUMO DOMICILIAR: PIZZARIA DELIVERY,Não,Baixo,Não,−,−,−,Não,Sim,Alimentos,Não,,,
5914-6/00,ATIVIDADES DE EXIBIÇÃO CINEMATOGRÁFICA,Não,Médio,Não,−,−,−,Não,Não,Interesse da saúde,Não,,,
6203-1/00,DESENVOLVIMENTO E LICENCIAMENTO DE PROGRAMAS DE COMPUTADOR NÃO CUSTOMIZÁVEIS,Não,Baixo,Sim,"Desde que não haja o desenvolvimento de softwares que realizam ou influenciam diretamente no diagnóstico, monitoramento, terapia (tratamento) para a saúde. Caso haja, será considerado Alto Risco.","Haverá o desenvolvimento de softwares que realizam ou influenciam diretamente no diagnóstico, monitoramento, terapia (tratamento) para a saúde?",−,Sim,Não,Interesse da saúde,Não,,,
6822-6/00,GESTÃO E ADMINISTRAÇÃO DA PROPRIEDADE IMOBILIÁRIA,Não,Baixo,Não,−,−,Possui no exercício da atividade o gerenciamento de resíduos compatíveis com serviços de saúde?,Sim,Não,Interesse da saúde,Não,,,
7120-1/00,TESTES E ANÁLISES TÉCNICAS,Não,Baixo,Sim,"Desde que não haja no exercício da atividade a análise de produto sujeito à vigilância sanitária. Caso haja, será considerado Alto Risco.",Haverá no exercício da atividade a análise de produto sujeito à Vigilância Sanitária?,−,Sim,Não,Interesse da saúde,Sim,,,
7490-1/99,"OUTRAS ATIVIDADES PROFISSIONAIS, CIENTÍFICAS E TÉCNICAS NÃO ESPECIFICADAS ANTERIORMENTE",Não,Baixo,Não,−,−,−,Sim,Não,Interesse da saúde,Não,,,
7500-1/00,ATIVIDADES VETERINÁRIAS (POR CONSULTÓRIO),Sim,Médio,Sim,"Desde que o resultado do exercício da atividade não inclua a comercialização e/ou uso de medicamentos controlados e/ou equipamentos de diagnóstico por imagem. Caso inclua, será considerado Alto Risco.",O resultado do exercício da atividade inclui a comercialização e/ou uso de medicamentos controlados e/ou equipamentos de diagnóstico por imagem?,−,Sim,Não,Interesse da saúde,Sim,,,
7729-2/03,ALUGUEL DE MATERIAL MÉDICO,Não,Baixo,Não,−,−,−,,Sim,Interesse da saúde,Não,,,
7739-0/03,"ALUGUEL DE PALCOS, COBERTURAS E OUTRAS ESTRUTURAS DE USO TEMPORÁRIO, EXCETO ANDAIMES",Não,Baixo,Sim,"Desde que não haja no exercício da atividade o aluguel e/ou leasing operacional, incluindo montagem, de sanitários químicos para uso em eventos. Caso haja, será considerado Médio Risco.","No exercício da atividade, realiza o aluguel e leasing operacional, incluindo montagem, de sanitários químicos para uso em eventos?",−,Sim,Sim,Interesse da saúde,Não,,,
8112-5/00,CONDOMÍNIOS PREDIAIS,Não,Baixo,Sim,"Desde que não haja, no exercício da atividade, o gerenciamento de resíduos compatíveis com serviços de saúde. Caso haja, será considerado Médio Risco.",Possui no exercício da atividade o gerenciamento de resíduos compatíveis com serviços de saúde?,−,Não,Não,Interesse da saúde,Não,,,
8121-4/00,LIMPEZA EM PRÉDIOS E EM DOMICÍLIOS,Não,Médio,Não,−,−,−,Sim,Não,Interesse da saúde,Não,,,
8122-2/00,IMUNIZAÇÃO E CONTROLE DE PRAGAS URBANAS,Não,Alto,Não,−,−,−,Não,Não,Interesse da saúde,Sim,,,
8129-0/00,ATIVIDADES DE LIMPEZA NÃO ESPECIFICADOS ANTERIORMENTE: LIMPEZA DE FOSSA,Não,Médio,Não,−,−,−,Sim,Não,Interesse da saúde,Não,,,
8129-0/00,"ATIVIDADES DE LIMPEZA NÃO ESPECIFICADOS ANTERIORMENTE: LIMPEZA, DESINFECÇÃO DE POÇO/CAIXA D’ÁGUA",Não,Médio,Não,−,−,−,Não,Não,Interesse da saúde,Não,,,
8129-0/00,ATIVIDADES DE LIMPEZA NÃO ESPECIFICADOS ANTERIORMENTE: SERVIÇO DE ESTERILIZAÇÃO/ IRRADIAÇÃO,Não,Alto,Não,−,−,"Haverá no exercício da atividade o procedimento de esterilização de produtos relacionados à saúde?
Haverá a prestação de serviços de reprocessamento por gás óxido de etileno (E.T.O) ou suas misturas?
Haverá a prestação de serviços de esterilização por gás óxido de etileno ou suas misturas em hospital ou entidade a ele assemelhada?
Haverá a prestação de serviços de irradiação de alimentos por radiação ionizante?
Haverá a prestação de serviços de esterilização através de óxido de etileno (E.T.O) ou radiação ionizante?
Haverá a prestação de serviços de eliminação de micro-organismos nocivos por meio de esterilização em equipamentos médico-hospitalares e/ou outros?",Não,Não,Interesse da saúde,"Sim, caso seja Alto Risco",,,
8230-0/01,"SERVIÇOS DE ORGANIZAÇÃO DE FEIRAS, CONGRESSOS, EXPOSIÇÕES E FESTAS",Não,Baixo,Não,−,−,−,Sim,Sim,Interesse da saúde,Não,,,
8230-0/02,CASA DE FESTAS E EVENTOS,Não,Baixo,Não,−,−,−,−,Sim,Interesse da saúde,Não,,,
8292-0/00,ENVASAMENTO E EMPACOTAMENTO SOB CONTRATO,Não,Baixo,Sim,"Desde que não haja, no exercício da atividade, o envasamento, fracionamento e/ou empacotamento de produtos relacionados a saúde, tais como: engarrafamento de produtos líquidos, incluindo alimentos e bebidas, empacotamento de sólidos, envasamento em aerossóis ou empacotamento de produtos farmacêuticos. Caso haja, será considerado Alto Risco.","Haverá, no exercício da atividade, o envasamento, fracionamento e/ou empacotamento de produtos relacionados a saúde, tais como: engarrafamento de produtos líquidos, incluindo alimentos e bebidas, empacotamento de sólidos, envasamento em aerossóis ou empacotamento de produtos farmacêuticos?",−,Não,Sim,Interesse da saúde,Não,,,
8511-2/00,EDUCAÇÃO INFANTIL - CRECHE,Não,Alto,Não,−,−,"Possui Serviço de Saúde, Nutrição, Fisioterapia, Odontologia ou outros?",Não,Não,Interesse da saúde,Não,,,
8512-1/00,EDUCAÇÃO INFANTIL – PRÉ-ESCOLA,Não,Médio,Não,−,−,−,Não,Não,Interesse da saúde,Não,,,
8513-9/00,ENSINO FUNDAMENTAL,Não,Médio,Não,−,−,"Possui Serviço de Saúde, Nutrição, Fisioterapia, Odontologia ou outros?",Não,Não,Interesse da saúde,Não,,,
8520-1/00,ENSINO MÉDIO,Não,Médio,Não,−,−,−,Não,Não,Interesse da saúde,Não,,,
8531-7/00,EDUCAÇÃO SUPERIOR - GRADUAÇÃO,Não,Médio,Sim,"Desde que não haja no exercício da atividade de ensino, a realização de procedimentos invasivos e/ou a manipulação de agentes físicos, químicos ou biológicos em laboratório. Caso haja, será considerado Alto Risco.","Haverá no exercício da atividade de ensino, a realização de procedimentos invasivos e/ou a manipulação de agentes físicos, químicos ou biológicos em laboratório?",−,Não,Não,Interesse da saúde,"Sim, caso seja Alto Risco",,,
8532-5/00,EDUCAÇÃO SUPERIOR - GRADUAÇÃO E PÓS GRADUAÇÃO,Não,Médio,Sim,"Desde que não haja no exercício da atividade de ensino, a realização de procedimentos invasivos e/ou a manipulação de agentes físicos, químicos ou biológicos em laboratório. Caso haja, será considerado Alto Risco.","Haverá no exercício da atividade de ensino, a realização de procedimentos invasivos e/ou a manipulação de agentes físicos, químicos ou biológicos em laboratório?",−,Não,Não,Interesse da saúde,"Sim, caso seja Alto Risco",,,
8533-3/00,EDUCAÇÃO SUPERIOR - PÓS GRADUAÇÃO E EXTENSÃO,Não,Médio,Sim,"Desde que não haja no exercício da atividade de ensino, a realização de procedimentos invasivos e/ou a manipulação de agentes físicos, químicos ou biológicos em laboratório. Caso haja, será considerado Alto Risco.","Haverá no exercício da atividade de ensino, a realização de procedimentos invasivos e/ou a manipulação de agentes físicos, químicos ou biológicos em laboratório?",−,Não,Não,Interesse da saúde,"Sim, caso seja Alto Risco",,,
8541-4/00,EDUCAÇÃO PROFISSIONAL DE NÍVEL TÉCNICO,Não,Médio,Sim,"Desde que não haja no exercício da atividade de ensino, a realização de procedimentos invasivos e/ou a manipulação de agentes físicos, químicos ou biológicos em laboratório. Caso haja, será considerado Alto Risco.","Haverá no exercício da atividade de ensino, a realização de procedimentos invasivos e/ou a manipulação de agentes físicos, químicos ou biológicos em laboratório?",−,Não,Não,Interesse da saúde,"Sim, caso seja Alto Risco",,,
8542-2/00,EDUCAÇÃO PROFISSIONAL DE NÍVEL TÉCNOLÓGICO,Não,Médio,Sim,"Desde que não haja no exercício da atividade de ensino, a realização de procedimentos invasivos e/ou a manipulação de agentes físicos, químicos ou biológicos em laboratório. Caso haja, será considerado Alto Risco.","Haverá no exercício da atividade de ensino, a realização de procedimentos invasivos e/ou a manipulação de agentes físicos, químicos ou biológicos em laboratório?",−,Não,Não,Interesse da saúde,"Sim, caso seja Alto Risco",,,
8591-1/00,ENSINO DE ESPORTES,Não,Baixo,Não,−,−,−,Sim,Não,Interesse da saúde,Não,,,
8592-9/01,ENSINO DE DANÇA,Não,Baixo,Não,−,−,−,Sim,Não,Interesse da saúde,Não,,,
8592-9/02,"ENSINO DE ARTES CÊNICAS, EXCETO DANÇA",Não,Baixo,Não,−,−,−,Sim,Sim,Interesse da saúde,Não,,,
8592-9/03,ENSINO DE MÚSICA,Não,Baixo,Não,−,−,−,Sim,Sim,Interesse da saúde,Não,,,
8592-9/99,ENSINO DE ARTE E CULTURA NÃO ESPECIFICADO ANTERIORMENTE,Não,Baixo,Não,−,−,−,Sim,Sim,Interesse da saúde,Não,,,
8593-7/00,ENSINO DE IDIOMAS,Não,Baixo,Não,−,−,−,Sim,Sim,Interesse da saúde,Não,,,
8599-6/03,TREINAMENTO EM INFORMÁTICA,Não,Baixo,Não,−,−,−,Sim,Sim,Interesse da saúde,Não,,,
8599-6/04,TREINAMENTO EM DESENVOLVIMENTO PROFISSIONAL E GERENCIAL,Não,Baixo,Não,−,−,−,Sim,Sim,Interesse da saúde,Não,,,
8599-6/05,CURSOS PREPARATÓRIOS PARA CONCURSOS,Não,Baixo,Não,−,−,−,Não,Sim,Interesse da saúde,Não,,,
8599-6/99,OUTRAS ATIVIDADES DE ENSINO NÃO ESPECIFICADAS ANTERIORMENTE,Não,Médio,Não,−,−,−,Sim,Sim,Interesse da saúde,Não,,,
8610-1/01,ATIVIDADES DE ATENDIMENTO HOSPITALAR EXCETO PRONTO SOCORRO E UNIDADES PARA ATENDIMENTO A URGÊNCIA: CASA DE PARTO,Não,Alto,Não,−,−,−,Sim,Não,Serviços de saúde,Sim,,,
8610-1/01,ATIVIDADES DE ATENDIMENTO HOSPITALAR EXCETO PRONTO SOCORRO E UNIDADES PARA ATENDIMENTO A URGÊNCIA: CENTRO CIRÚRGICO  (POR SALA),Sim,Alto,Não,−,−,−,Sim,Não,Serviços de saúde,Sim,,,
8610-1/01,ATIVIDADES DE ATENDIMENTO HOSPITALAR EXCETO PRONTO SOCORRO E UNIDADES PARA ATENDIMENTO A URGÊNCIA: HOSPITAL DIA (POR LEITO),Sim,Alto,Não,−,−,−,Sim,Não,Serviços de saúde,Sim,,,
8610-1/01,ATIVIDADES DE ATENDIMENTO HOSPITALAR EXCETO PRONTO SOCORRO E UNIDADES PARA ATENDIMENTO A URGÊNCIA: HOSPITAL PEQUENO PORTE (POR LEITO),Sim,Alto,Não,−,−,−,Sim,Não,Serviços de saúde,Sim,,,
