cnae,descricao,condicionantes,risco_municipal_unificado
1922-5/99,"Fabricação de outros produtos derivados do petróleo, exceto produtos do refino","- Desde que seja escritório da empresa | - Desde que não esteja em imóvel residencial (casa, apartamento), galpão, terreno, lote, box, quiosque, container, | - Desde que a área utilizada não ultrapasse 1.250m² (mil duzentos e cinquenta metros quadrados) | Desde que seja o escritório a empresa ou local para comercialização.",BAIXO A
1931-4/00,Fabricação de álcool,"- Desde que seja escritório da empresa | - Desde que não esteja em imóvel residencial (casa, apartamento), galpão, terreno, lote, box, quiosque, container, | - Desde que a área utilizada não ultrapasse 1.250m² (mil duzentos e cinquenta metros quadrados)",BAIXO A
1932-2/00,"Fabricação de biocombustíveis, exceto álcool","- Desde que seja escritório da empresa | - Desde que não esteja em imóvel residencial (casa, apartamento), galpão, terreno, lote, box, quiosque, container, | - Desde que a área utilizada não ultrapasse 1.250m² (mil duzentos e cinquenta metros quadrados) | Desde que seja o escritório da empresa ou local para comercialização.",BAIXO A
2011-8/00,Fabricação de cloro e álcalis,"- Desde que seja escritório da empresa | - Desde que não esteja em imóvel residencial (casa, apartamento), galpão, terreno, lote, box, quiosque, container, | - Desde que a área utilizada não ultrapasse 1.250m² (mil duzentos e cinquenta metros quadrados)",BAIXO A
2012-6/00,Fabricação de intermediários para fertilizantes,"- Desde que seja escritório da empresa | - Desde que não esteja em imóvel residencial (casa, apartamento), galpão, terreno, lote, box, quiosque, container, | - Desde que a área utilizada não ultrapasse 1.250m² (mil duzentos e cinquenta metros quadrados) | Desde que seja o escritório a empresa ou local para comercialização.",BAIXO A
2013-4/01,Fabricação de adubos e fertilizantes organo- minerais,"- Desde que seja escritório da empresa | - Desde que não esteja em imóvel residencial (casa, apartamento), galpão, terreno, lote, box, quiosque, container, | - Desde que a área utilizada não ultrapasse 1.250m² (mil duzentos e cinquenta metros quadrados)",BAIXO A
2013-4/02,"Fabricação de adubos e fertilizantes, exceto organo-minerais","- Desde que seja escritório da empresa | - Desde que não esteja em imóvel residencial (casa, apartamento), galpão, terreno, lote, box, quiosque, container, | - Desde que a área utilizada não ultrapasse 1.250m² (mil duzentos e cinquenta metros quadrados)",BAIXO A
2019-3/01,Elaboração de combustíveis nucleares,"- Desde que seja escritório da empresa | - Desde que não esteja em imóvel residencial (casa, apartamento), galpão, terreno, lote, box, quiosque, container, | - Desde que a área utilizada não ultrapasse 1.250m² (mil duzentos e cinquenta metros quadrados)",BAIXO A
2021-5/00,Fabricação de produtos petroquímicos básicos,"- Desde que seja escritório da empresa | - Desde que não esteja em imóvel residencial (casa, apartamento), galpão, terreno, lote, box, quiosque, container, | - Desde que a área utilizada não ultrapasse 1.250m² (mil duzentos e cinquenta metros quadrados)",BAIXO A
2022-3/00,"Fabricação de intermediários para plastificantes, resinas e fibras","- Desde que seja escritório da empresa | - Desde que não esteja em imóvel residencial (casa, apartamento), galpão, terreno, lote, box, quiosque, container, | - Desde que a área utilizada não ultrapasse 1.250m² (mil duzentos e cinquenta metros quadrados)",BAIXO A
2031-2/00,Fabricação de resinas termoplásticas,"- Desde que seja escritório da empresa | - Desde que não esteja em imóvel residencial (casa, apartamento), galpão, terreno, lote, box, quiosque, container, | - Desde que a área utilizada não ultrapasse 1.250m² (mil duzentos e cinquenta metros quadrados)",BAIXO A
2032-1/00,Fabricação de resinas termofixas,"- Desde que seja escritório da empresa | - Desde que não esteja em imóvel residencial (casa, apartamento), galpão, terreno, lote, box, quiosque, container, | - Desde que a área utilizada não ultrapasse 1.250m² (mil duzentos e cinquenta metros quadrados)",BAIXO A
2033-9/00,Fabricação de elastômeros,"- Desde que seja escritório da empresa | - Desde que não esteja em imóvel residencial (casa, apartamento), galpão, terreno, lote, box, quiosque, container, | - Desde que a área utilizada não ultrapasse 1.250m² (mil duzentos e cinquenta metros quadrados)",BAIXO A
2040-1/00,Fabricação de fibras artificiais e sintéticas,"- Desde que seja escritório da empresa | - Desde que não esteja em imóvel residencial (casa, apartamento), galpão, terreno, lote, box, quiosque, container, | - Desde que a área utilizada não ultrapasse 1.250m² (mil duzentos e cinquenta metros quadrados)",BAIXO A
2051-7/00,Fabricação de defensivos agrícolas,"- Desde que seja escritório da empresa | - Desde que não esteja em imóvel residencial (casa, apartamento), galpão, terreno, lote, box, quiosque, container, | - Desde que a área utilizada não ultrapasse 1.250m² (mil duzentos e cinquenta metros quadrados)",BAIXO A
2072-0/00,Fabricação de tintas de impressão,"- Desde que seja escritório da empresa | - Desde que não esteja em imóvel residencial (casa, apartamento), galpão, terreno, lote, box, quiosque, container, | - Desde que a área utilizada não ultrapasse 1.250m² (mil duzentos e cinquenta metros quadrados)",BAIXO A
2073-8/00,"Fabricação de impermeabilizantes, solventes e produtos afins","- Desde que seja escritório da empresa | - Desde que não esteja em imóvel residencial (casa, apartamento), galpão, terreno, lote, box, quiosque, container, | - Desde que a área utilizada não ultrapasse 1.250m² (mil duzentos e cinquenta metros quadrados)",BAIXO A
2094-1/00,Fabricação de catalisadores,"- Desde que seja escritório da empresa | - Desde que não esteja em imóvel residencial (casa, apartamento), galpão, terreno, lote, box, quiosque, container, | - Desde que a área utilizada não ultrapasse 1.250m² (mil duzentos e cinquenta metros quadrados)",BAIXO A
2099-1/01,"Fabricação de chapas, filmes, papéis e outros materiais e produtos químicos para fotografia","- Desde que seja escritório da empresa | - Desde que não esteja em imóvel residencial (casa, apartamento), galpão, terreno, lote, box, quiosque, container, | - Desde que a área utilizada não ultrapasse 1.250m² (mil duzentos e cinquenta metros quadrados)",BAIXO A
2099-1/99,Fabricação de outros produtos químicos não especificados anteriormente,"- Desde que seja escritório da empresa | - Desde que não esteja em imóvel residencial (casa, apartamento), galpão, terreno, lote, box, quiosque, container, | - Desde que a área utilizada não ultrapasse 1.250m² (mil duzentos e cinquenta metros quadrados)",BAIXO A
2122-0/00,Fabricação de medicamentos para uso veterinário,"- Desde que seja escritório da empresa | - Desde que não esteja em imóvel residencial (casa, apartamento), galpão, terreno, lote, box, quiosque, container, | - Desde que a área utilizada não ultrapasse 1.250m² (mil duzentos e cinquenta metros quadrados)",BAIXO A
2211-1/00,Fabricação de pneumáticos e de câmaras-de-ar,"- Desde que seja escritório da empresa | - Desde que não esteja em imóvel residencial (casa, apartamento), galpão, terreno, lote, box, quiosque, container, | - Desde que a área utilizada não ultrapasse 1.250m² (mil duzentos e cinquenta metros quadrados) | Desde que seja o escritório da empresa ou local para comercialização.",BAIXO A
2319-2/00,Fabricação de artigos de vidro,"- Desde que seja escritório da empresa | - Desde que não esteja em imóvel residencial (casa, apartamento), galpão, terreno, lote, box, quiosque, container, | - Desde que a área utilizada não ultrapasse 1.250m² (mil duzentos e cinquenta metros quadrados)",BAIXO A
2391-5/01,"Britamento de pedras, exceto associado à extração","- Desde que seja escritório da empresa | - Desde que não esteja em imóvel residencial (casa, apartamento), galpão, terreno, lote, box, quiosque, container, | - Desde que a área utilizada não ultrapasse 1.250m² (mil duzentos e cinquenta metros quadrados) | Desde que seja o escritório a empresa ou local para comercialização.",BAIXO A
2399-1/01,"Decoração, lapidação, gravação, vitrificação e outros trabalhos em cerâmica, louça, vidro e cristal","- Desde que seja escritório da empresa | - Desde que não esteja em imóvel residencial (casa, apartamento), galpão, terreno, lote, box, quiosque, container, | - Desde que a área utilizada não ultrapasse 1.250m² (mil duzentos e cinquenta metros quadrados)",BAIXO A
2399-1/02,Fabricação de abrasivos,"- Desde que seja escritório da empresa | - Desde que não esteja em imóvel residencial (casa, apartamento), galpão, terreno, lote, box, quiosque, container, | - Desde que a área utilizada não ultrapasse 1.250m² (mil duzentos e cinquenta metros quadrados) | Desde que seja o escritório da empresa ou local para comercialização.",BAIXO A
2399-1/99,Fabricação de outros produtos de minerais não metálicos não especificados anteriormente,"- Desde que seja escritório da empresa | - Desde que não esteja em imóvel residencial (casa, apartamento), galpão, terreno, lote, box, quiosque, container, | - Desde que a área utilizada não ultrapasse 1.250m² (mil duzentos e cinquenta metros quadrados) | Desde que seja o escritório da empresa ou local para comercialização.",BAIXO A
2411-3/00,Produção de ferro- gusa,"- Desde que seja escritório da empresa | - Desde que não esteja em imóvel residencial (casa, apartamento), galpão, terreno, lote, box, quiosque, container, | - Desde que a área utilizada não ultrapasse 1.250m² (mil duzentos e cinquenta metros quadrados) | Desde que seja o escritório a empresa ou local para comercialização.",BAIXO A
2412-1/00,Produção de ferroligas,"- Desde que seja escritório da empresa | - Desde que não esteja em imóvel residencial (casa, apartamento), galpão, terreno, lote, box, quiosque, container, | - Desde que a área utilizada não ultrapasse 1.250m² (mil duzentos e cinquenta metros quadrados) | Desde que seja o escritório da empresa ou local para comercialização.",BAIXO A
2421-1/00,Produção de semiacabados de aço,"- Desde que seja escritório da empresa | - Desde que não esteja em imóvel residencial (casa, apartamento), galpão, terreno, lote, box, quiosque, container, | - Desde que a área utilizada não ultrapasse 1.250m² (mil duzentos e cinquenta metros quadrados) | Desde que seja o escritório da empresa ou local para comercialização.",BAIXO A
2422-9/01,"Produção de laminados planos de aço ao carbono, revestidos ou não","- Desde que seja escritório da empresa | - Desde que não esteja em imóvel residencial (casa, apartamento), galpão, terreno, lote, box, quiosque, container, | - Desde que a área utilizada não ultrapasse 1.250m² (mil duzentos e cinquenta metros quadrados) | Desde que seja o escritório a empresa ou local para comercialização.",BAIXO A
2422-9/02,Produção de laminados planos de aços especiais,"- Desde que seja escritório da empresa | - Desde que não esteja em imóvel residencial (casa, apartamento), galpão, terreno, lote, box, quiosque, container, | - Desde que a área utilizada não ultrapasse 1.250m² (mil duzentos e cinquenta metros quadrados) | Desde que seja o escritório da empresa ou local para comercialização.",BAIXO A
2423-7/01,Produção de tubos de aço sem costura,"- Desde que seja escritório da empresa | - Desde que não esteja em imóvel residencial (casa, apartamento), galpão, terreno, lote, box, quiosque, container, | - Desde que a área utilizada não ultrapasse 1.250m² (mil duzentos e cinquenta metros quadrados) | Desde que seja o escritório da empresa ou local para comercialização.",BAIXO A
2423-7/02,"Produção de laminados longos de aço, exceto tubos","- Desde que seja escritório da empresa | - Desde que não esteja em imóvel residencial (casa, apartamento), galpão, terreno, lote, box, quiosque, container, | - Desde que a área utilizada não ultrapasse 1.250m² (mil duzentos e cinquenta metros quadrados) | Desde que seja o escritório a empresa ou local para comercialização.",BAIXO A
2424-5/01,Produção de arames de aço,"- Desde que seja escritório da empresa | - Desde que não esteja em imóvel residencial (casa, apartamento), galpão, terreno, lote, box, quiosque, container, | - Desde que a área utilizada não ultrapasse 1.250m² (mil duzentos e cinquenta metros quadrados) | Desde que seja o escritório da empresa ou local para comercialização.",BAIXO A
2424-5/02,"Produção de relaminados, trefilados e perfilados de aço, exceto arames","- Desde que seja escritório da empresa | - Desde que não esteja em imóvel residencial (casa, apartamento), galpão, terreno, lote, box, quiosque, container, | - Desde que a área utilizada não ultrapasse 1.250m² (mil duzentos e cinquenta metros quadrados) | Desde que seja o escritório da empresa ou local para comercialização.",BAIXO A
2431-8/00,Produção de tubos de aço com costura,"- Desde que seja escritório da empresa | - Desde que não esteja em imóvel residencial (casa, apartamento), galpão, terreno, lote, box, quiosque, container, | - Desde que a área utilizada não ultrapasse 1.250m² (mil duzentos e cinquenta metros quadrados) | Desde que seja o escritório a empresa ou local para comercialização.",BAIXO A
2439-3/00,Produção de outros tubos de ferro e aço,"- Desde que seja escritório da empresa | - Desde que não esteja em imóvel residencial (casa, apartamento), galpão, terreno, lote, box, quiosque, container, | - Desde que a área utilizada não ultrapasse 1.250m² (mil duzentos e cinquenta metros quadrados) | Desde que seja o escritório da empresa ou local para comercialização.",BAIXO A
2441-5/01,Produção de alumínio e suas ligas em formas primárias,"- Desde que seja escritório da empresa | - Desde que não esteja em imóvel residencial (casa, apartamento), galpão, terreno, lote, box, quiosque, container, | - Desde que a área utilizada não ultrapasse 1.250m² (mil duzentos e cinquenta metros quadrados) | Desde que seja o escritório da empresa ou local para comercialização.",BAIXO A
2441-5/02,Produção de laminados de alumínio,"- Desde que seja escritório da empresa | - Desde que não esteja em imóvel residencial (casa, apartamento), galpão, terreno, lote, box, quiosque, container, | - Desde que a área utilizada não ultrapasse 1.250m² (mil duzentos e cinquenta metros quadrados) | Desde que seja o escritório a empresa ou local para comercialização.",BAIXO A
2442-3/00,Metalurgia dos metais preciosos,"- Desde que seja escritório da empresa | - Desde que não esteja em imóvel residencial (casa, apartamento), galpão, terreno, lote, box, quiosque, container, | - Desde que a área utilizada não ultrapasse 1.250m² (mil duzentos e cinquenta metros quadrados) | Desde que seja o escritório da empresa ou local para comercialização.",BAIXO A
2443-1/00,Metalurgia do cobre,"- Desde que seja escritório da empresa | - Desde que não esteja em imóvel residencial (casa, apartamento), galpão, terreno, lote, box, quiosque, container, | - Desde que a área utilizada não ultrapasse 1.250m² (mil duzentos e cinquenta metros quadrados) | Desde que seja o escritório da empresa ou local para comercialização.",BAIXO A
2449-1/01,Produção de zinco em formas primárias,"- Desde que seja escritório da empresa | - Desde que não esteja em imóvel residencial (casa, apartamento), galpão, terreno, lote, box, quiosque, container, | - Desde que a área utilizada não ultrapasse 1.250m² (mil duzentos e cinquenta metros quadrados)",BAIXO A
2449-1/02,Produção de laminados de zinco,"- Desde que seja escritório da empresa | - Desde que não esteja em imóvel residencial (casa, apartamento), galpão, terreno, lote, box, quiosque, container, | - Desde que a área utilizada não ultrapasse 1.250m² (mil duzentos e cinquenta metros quadrados)",BAIXO A
2449-1/03,Fabricação de ânodos para galvanoplastia,"- Desde que seja escritório da empresa | - Desde que não esteja em imóvel residencial (casa, apartamento), galpão, terreno, lote, box, quiosque, container, | - Desde que a área utilizada não ultrapasse 1.250m² (mil duzentos e cinquenta metros quadrados) | Desde que seja o escritório da empresa ou local para comercialização.",BAIXO A
2449-1/99,Metalurgia de outros metais não ferrosos e suas ligas não especificados anteriormente,"- Desde que seja escritório da empresa | - Desde que não esteja em imóvel residencial (casa, apartamento), galpão, terreno, lote, box, quiosque, container, | - Desde que a área utilizada não ultrapasse 1.250m² (mil duzentos e cinquenta metros quadrados) | Desde que seja o escritório da empresa ou local para comercialização.",BAIXO A
2451-2/00,Fundição de ferro e aço,"- Desde que seja escritório da empresa | - Desde que não esteja em imóvel residencial (casa, apartamento), galpão, terreno, lote, box, quiosque, container, | - Desde que a área utilizada não ultrapasse 1.250m² (mil duzentos e cinquenta metros quadrados) | Desde que seja o escritório da empresa ou local para comercialização.",BAIXO A
2452-1/00,Fundição de metais não ferrosos e suas ligas,"- Desde que seja escritório da empresa | - Desde que não esteja em imóvel residencial (casa, apartamento), galpão, terreno, lote, box, quiosque, container, | - Desde que a área utilizada não ultrapasse 1.250m² (mil duzentos e cinquenta metros quadrados) | Desde que seja o escritório a empresa ou local para comercialização.",BAIXO A
2521-7/00,"Fabricação de tanques, reservatórios metálicos e caldeiras para aquecimento central","- Desde que seja escritório da empresa | - Desde que não esteja em imóvel residencial (casa, apartamento), galpão, terreno, lote, box, quiosque, container, | - Desde que a área utilizada não ultrapasse 1.250m² (mil duzentos e cinquenta metros quadrados) | Desde que seja o escritório da empresa ou local para comercialização.",BAIXO A
2531-4/01,Produção de forjados de aço,"- Desde que seja escritório da empresa | - Desde que não esteja em imóvel residencial (casa, apartamento), galpão, terreno, lote, box, quiosque, container, | - Desde que a área utilizada não ultrapasse 1.250m² (mil duzentos e cinquenta metros quadrados) | Desde que seja o escritório da empresa ou local para comercialização.",BAIXO A
2531-4/02,Produção de forjados de metais não ferrosos e suas ligas,"- Desde que seja escritório da empresa | - Desde que não esteja em imóvel residencial (casa, apartamento), galpão, terreno, lote, box, quiosque, container, | - Desde que a área utilizada não ultrapasse 1.250m² (mil duzentos e cinquenta metros quadrados) | Desde que seja o escritório a empresa ou local para comercialização.",BAIXO A
2539-0/02,Serviços de tratamento e revestimento em metais,"- Desde que seja escritório da empresa | - Desde que não esteja em imóvel residencial (casa, apartamento), galpão, terreno, lote, box, quiosque, container, | - Desde que a área utilizada não ultrapasse 1.250m² (mil duzentos e cinquenta metros quadrados)",BAIXO A
2541-1/00,Fabricação de artigos de cutelaria,"- Desde que seja escritório da empresa | - Desde que não esteja em imóvel residencial (casa, apartamento), galpão, terreno, lote, box, quiosque, container, | - Desde que a área utilizada não ultrapasse 1.250m² (mil duzentos e cinquenta metros quadrados) | Desde que seja o escritório da empresa ou local para comercialização.",BAIXO A
2543-8/00,Fabricação de ferramentas,"- Desde que seja escritório da empresa | - Desde que não esteja em imóvel residencial (casa, apartamento), galpão, terreno, lote, box, quiosque, container, | - Desde que a área utilizada não ultrapasse 1.250m² (mil duzentos e cinquenta metros quadrados) | Desde que seja o escritório da empresa ou local para comercialização.",BAIXO A
2592-6/01,Fabricação de produtos de trefilados de metal padronizados,"- Desde que seja escritório da empresa | - Desde que não esteja em imóvel residencial (casa, apartamento), galpão, terreno, lote, box, quiosque, container, | - Desde que a área utilizada não ultrapasse 1.250m² (mil duzentos e cinquenta metros quadrados) | Desde que seja o escritório a empresa ou local para comercialização.",BAIXO A
2592-6/02,"Fabricação de produtos de trefilados de metal, exceto padronizados","- Desde que seja escritório da empresa | - Desde que não esteja em imóvel residencial (casa, apartamento), galpão, terreno, lote, box, quiosque, container, | - Desde que a área utilizada não ultrapasse 1.250m² (mil duzentos e cinquenta metros quadrados) | Desde que seja o escritório da empresa ou local para comercialização.",BAIXO A
2593-4/00,Fabricação de artigos de metal para uso doméstico e pessoal,"- Desde que seja escritório da empresa | - Desde que não esteja em imóvel residencial (casa, apartamento), galpão, terreno, lote, box, quiosque, container, | - Desde que a área utilizada não ultrapasse 1.250m² (mil duzentos e cinquenta metros quadrados) | Desde que seja o escritório da empresa ou local para comercialização.",BAIXO A
2599-3/99,Fabricação de outros produtos de metal não especificados anteriormente,"- Desde que seja escritório da empresa | - Desde que não esteja em imóvel residencial (casa, apartamento), galpão, terreno, lote, box, quiosque, container, | - Desde que a área utilizada não ultrapasse 1.250m² (mil duzentos e cinquenta metros quadrados) | Desde que seja o escritório a empresa ou local para comercialização.",BAIXO A
2710-4/03,"Fabricação de motores elétricos, peças e acessórios","- Desde que seja escritório da empresa | - Desde que não esteja em imóvel residencial (casa, apartamento), galpão, terreno, lote, box, quiosque, container, | - Desde que a área utilizada não ultrapasse 1.250m² (mil duzentos e cinquenta metros quadrados) | Desde que seja o escritório da empresa ou local para comercialização.",BAIXO A
2790-2/01,"Fabricação de eletrodos, contatos e outros artigos de carvão e grafita para uso elétrico, eletroímãs e isoladores","- Desde que seja escritório da empresa | - Desde que não esteja em imóvel residencial (casa, apartamento), galpão, terreno, lote, box, quiosque, container, | - Desde que a área utilizada não ultrapasse 1.250m² (mil duzentos e cinquenta metros quadrados) | Desde que seja o escritório da empresa ou local para comercialização.",BAIXO A
2811-9/00,"Fabricação de motores e turbinas, peças e acessórios, exceto para aviões e veículos rodoviários","- Desde que seja escritório da empresa | - Desde que não esteja em imóvel residencial (casa, apartamento), galpão, terreno, lote, box, quiosque, container, | - Desde que a área utilizada não ultrapasse 1.250m² (mil duzentos e cinquenta metros quadrados) | Desde que seja o escritório a empresa ou local para comercialização.",BAIXO A
2812-7/00,"Fabricação de equipamentos hidráulicos e pneumáticos, peças e acessórios, exceto válvulas","- Desde que seja escritório da empresa | - Desde que não esteja em imóvel residencial (casa, apartamento), galpão, terreno, lote, box, quiosque, container, | - Desde que a área utilizada não ultrapasse 1.250m² (mil duzentos e cinquenta metros quadrados) | Desde que seja o escritório da empresa ou local para comercialização.",BAIXO A
2813-5/00,"Fabricação de válvulas, registros e dispositivos semelhantes, peças e acessórios","- Desde que seja escritório da empresa | - Desde que não esteja em imóvel residencial (casa, apartamento), galpão, terreno, lote, box, quiosque, container, | - Desde que a área utilizada não ultrapasse 1.250m² (mil duzentos e cinquenta metros quadrados) | Desde que seja o escritório da empresa ou local para comercialização.",BAIXO A
2814-3/01,"Fabricação de compressores para uso industrial, peças e acessórios","- Desde que seja escritório da empresa | - Desde que não esteja em imóvel residencial (casa, apartamento), galpão, terreno, lote, box, quiosque, container, | - Desde que a área utilizada não ultrapasse 1.250m² (mil duzentos e cinquenta metros quadrados) | Desde que seja o escritório a empresa ou local para comercialização.",BAIXO A
2814-3/02,"Fabricação de compressores para uso não industrial, peças e acessórios","- Desde que seja escritório da empresa | - Desde que não esteja em imóvel residencial (casa, apartamento), galpão, terreno, lote, box, quiosque, container, | - Desde que a área utilizada não ultrapasse 1.250m² (mil duzentos e cinquenta metros quadrados) | Desde que seja o escritório da empresa ou local para comercialização.",BAIXO A
2815-1/01,Fabricação de rolamentos para fins industriais,"- Desde que seja escritório da empresa | - Desde que não esteja em imóvel residencial (casa, apartamento), galpão, terreno, lote, box, quiosque, container, | - Desde que a área utilizada não ultrapasse 1.250m² (mil duzentos e cinquenta metros quadrados) | Desde que seja o escritório da empresa ou local para comercialização.",BAIXO A
2815-1/02,"Fabricação de equipamentos de transmissão para fins industriais, exceto rolamentos","- Desde que seja escritório da empresa | - Desde que não esteja em imóvel residencial (casa, apartamento), galpão, terreno, lote, box, quiosque, container, | - Desde que a área utilizada não ultrapasse 1.250m² (mil duzentos e cinquenta metros quadrados) | Desde que seja o escritório a empresa ou local para comercialização.",BAIXO A
2821-6/01,"Fabricação de fornos industriais, aparelhos e equipamentos não elétricos para instalações térmicas, peças e acessórios","- Desde que seja escritório da empresa | - Desde que não esteja em imóvel residencial (casa, apartamento), galpão, terreno, lote, box, quiosque, container, | - Desde que a área utilizada não ultrapasse 1.250m² (mil duzentos e cinquenta metros quadrados) | Desde que seja o escritório da empresa ou local para comercialização.",BAIXO A
2823-2/00,"Fabricação de máquinas e aparelhos de refrigeração e ventilação para uso industrial e comercial, peças e acessórios","- Desde que seja escritório da empresa | - Desde que não esteja em imóvel residencial (casa, apartamento), galpão, terreno, lote, box, quiosque, container, | - Desde que a área utilizada não ultrapasse 1.250m² (mil duzentos e cinquenta metros quadrados) | Desde que seja o escritório da empresa ou local para comercialização.",BAIXO A
2825-9/00,"Fabricação de máquinas e equipamentos para saneamento básico e ambiental, peças e acessórios","- Desde que seja escritório da empresa | - Desde que não esteja em imóvel residencial (casa, apartamento), galpão, terreno, lote, box, quiosque, container, | - Desde que a área utilizada não ultrapasse 1.250m² (mil duzentos e cinquenta metros quadrados) | Desde que seja o escritório a empresa ou local para comercialização.",BAIXO A
2831-3/00,"Fabricação de tratores agrícolas, peças e acessórios","- Desde que seja escritório da empresa | - Desde que não esteja em imóvel residencial (casa, apartamento), galpão, terreno, lote, box, quiosque, container, | - Desde que a área utilizada não ultrapasse 1.250m² (mil duzentos e cinquenta metros quadrados) | Desde que seja o escritório da empresa ou local para comercialização.",BAIXO A
2832-1/00,"Fabricação de equipamentos para irrigação agrícola, peças e acessórios","- Desde que seja escritório da empresa | - Desde que não esteja em imóvel residencial (casa, apartamento), galpão, terreno, lote, box, quiosque, container, | - Desde que a área utilizada não ultrapasse 1.250m² (mil duzentos e cinquenta metros quadrados) | Desde que seja o escritório da empresa ou local para comercialização.",BAIXO A
2833-0/00,"Fabricação de máquinas e equipamentos para a agricultura e pecuária, peças e acessórios, exceto para irrigação","- Desde que seja escritório da empresa | - Desde que não esteja em imóvel residencial (casa, apartamento), galpão, terreno, lote, box, quiosque, container, | - Desde que a área utilizada não ultrapasse 1.250m² (mil duzentos e cinquenta metros quadrados) | Desde que seja o escritório a empresa ou local para comercialização.",BAIXO A
2840-2/00,"Fabricação de máquinas-ferramenta, peças e acessórios","- Desde que seja escritório da empresa | - Desde que não esteja em imóvel residencial (casa, apartamento), galpão, terreno, lote, box, quiosque, container, | - Desde que a área utilizada não ultrapasse 1.250m² (mil duzentos e cinquenta metros quadrados) | Desde que seja o escritório da empresa ou local para comercialização.",BAIXO A
2851-8/00,"Fabricação de máquinas e equipamentos para a prospecção e extração de petróleo, peças e acessórios","- Desde que seja escritório da empresa | - Desde que não esteja em imóvel residencial (casa, apartamento), galpão, terreno, lote, box, quiosque, container, | - Desde que a área utilizada não ultrapasse 1.250m² (mil duzentos e cinquenta metros quadrados) | Desde que seja o escritório da empresa ou local para comercialização.",BAIXO A
2852-6/00,"Fabricação de outras máquinas e equipamentos para uso na extração mineral, peças e acessórios, exceto na extração de petróleo","- Desde que seja escritório da empresa | - Desde que não esteja em imóvel residencial (casa, apartamento), galpão, terreno, lote, box, quiosque, container, | - Desde que a área utilizada não ultrapasse 1.250m² (mil duzentos e cinquenta metros quadrados) | Desde que seja o escritório a empresa ou local para comercialização.",BAIXO A
2853-4/00,"Fabricação de tratores, peças e acessórios, exceto agrícolas","- Desde que seja escritório da empresa | - Desde que não esteja em imóvel residencial (casa, apartamento), galpão, terreno, lote, box, quiosque, container, | - Desde que a área utilizada não ultrapasse 1.250m² (mil duzentos e cinquenta metros quadrados) | Desde que seja o escritório da empresa ou local para comercialização.",BAIXO A
2854-2/00,"Fabricação de máquinas e equipamentos para terraplenagem, pavimentação e construção, peças e acessórios, exceto tratores","- Desde que seja escritório da empresa | - Desde que não esteja em imóvel residencial (casa, apartamento), galpão, terreno, lote, box, quiosque, container, | - Desde que a área utilizada não ultrapasse 1.250m² (mil duzentos e cinquenta metros quadrados) | Desde que seja o escritório da empresa ou local para comercialização.",BAIXO A
2861-5/00,"Fabricação de máquinas para a indústria metalúrgica, peças e acessórios, exceto máquinas- ferramenta","- Desde que seja escritório da empresa | - Desde que não esteja em imóvel residencial (casa, apartamento), galpão, terreno, lote, box, quiosque, container, | - Desde que a área utilizada não ultrapasse 1.250m² (mil duzentos e cinquenta metros quadrados) | Desde que seja o escritório a empresa ou local para comercialização.",BAIXO A
2862-3/00,"Fabricação de máquinas e equipamentos para as indústrias de alimentos, bebidas e fumo, peças e acessórios","- Desde que seja escritório da empresa | - Desde que não esteja em imóvel residencial (casa, apartamento), galpão, terreno, lote, box, quiosque, container, | - Desde que a área utilizada não ultrapasse 1.250m² (mil duzentos e cinquenta metros quadrados) | Desde que seja o escritório da empresa ou local para comercialização.",BAIXO A
2863-1/00,"Fabricação de máquinas e equipamentos para a indústria têxtil, peças e acessórios","- Desde que seja escritório da empresa | - Desde que não esteja em imóvel residencial (casa, apartamento), galpão, terreno, lote, box, quiosque, container, | - Desde que a área utilizada não ultrapasse 1.250m² (mil duzentos e cinquenta metros quadrados) | Desde que seja o escritório da empresa ou local para comercialização.",BAIXO A
2864-0/00,"Fabricação de máquinas e equipamentos para as indústrias do vestuário, do couro e de calçados, peças e acessórios","- Desde que seja escritório da empresa | - Desde que não esteja em imóvel residencial (casa, apartamento), galpão, terreno, lote, box, quiosque, container, | - Desde que a área utilizada não ultrapasse 1.250m² (mil duzentos e cinquenta metros quadrados) | Desde que seja o escritório a empresa ou local para comercialização.",BAIXO A
2865-8/00,"Fabricação de máquinas e equipamentos para as indústrias de celulose, papel e papelão e artefatos, peças e acessórios","- Desde que seja escritório da empresa | - Desde que não esteja em imóvel residencial (casa, apartamento), galpão, terreno, lote, box, quiosque, container, | - Desde que a área utilizada não ultrapasse 1.250m² (mil duzentos e cinquenta metros quadrados) | Desde que seja o escritório da empresa ou local para comercialização.",BAIXO A
2866-6/00,"Fabricação de máquinas e equipamentos para a indústria do plástico, peças e acessórios","- Desde que seja escritório da empresa | - Desde que não esteja em imóvel residencial (casa, apartamento), galpão, terreno, lote, box, quiosque, container, | - Desde que a área utilizada não ultrapasse 1.250m² (mil duzentos e cinquenta metros quadrados) | Desde que seja o escritório da empresa ou local para comercialização.",BAIXO A
2869-1/00,"Fabricação de máquinas e equipamentos para uso industrial específico não especificados anteriormente, peças e acessórios","- Desde que seja escritório da empresa | - Desde que não esteja em imóvel residencial (casa, apartamento), galpão, terreno, lote, box, quiosque, container, | - Desde que a área utilizada não ultrapasse 1.250m² (mil duzentos e cinquenta metros quadrados) | Desde que seja o escritório a empresa ou local para comercialização.",BAIXO A
